word_id,incomparable
8,0
30,0
31,0
38,0
42,0
55,0
58,0
62,0
65,0
66,0
72,0
79,
112,0
114,0
115,
116,0
135,0
151,0
158,0
184,0
186,
195,0
196,0
214,0
226,0
227,0
228,0
232,
247,0
250,0
252,0
257,0
261,0
268,0
277,0
286,0
293,0
299,0
304,0
306,0
307,0
309,0
324,0
333,0
343,0
344,0
350,0
360,0
375,0
387,0
388,0
404,0
413,0
415,0
426,0
434,0
438,0
440,0
443,0
450,0
460,0
479,0
488,0
494,0
495,0
497,0
501,0
502,0
504,0
505,0
513,0
522,0
526,0
531,0
545,0
554,0
555,0
562,0
564,
565,0
575,0
581,0
591,0
592,0
597,0
602,0
608,0
612,0
623,0
625,0
626,0
633,0
638,0
640,
641,0
645,0
646,0
657,0
660,0
671,0
672,0
677,0
678,
679,0
681,0
684,0
688,0
694,0
717,0
722,0
724,0
727,0
728,0
747,0
754,0
755,0
762,0
764,0
767,0
770,0
774,
794,
800,0
806,0
809,0
815,0
819,0
820,0
821,0
823,0
853,0
854,0
855,0
868,0
876,0
878,0
883,0
889,0
892,0
905,1
906,0
914,0
927,0
930,0
939,0
946,0
952,0
960,0
975,0
1000,0
1001,0
1004,0
1005,0
1007,0
1014,0
1015,0
1019,0
1021,0
1030,0
1042,0
1051,0
1064,0
1073,0
1077,
1085,0
1086,
1089,0
1092,0
1107,
1109,0
1116,0
1121,0
1133,0
1134,0
1143,0
1146,0
1147,0
1148,0
1149,
1160,0
1163,0
1165,0
1167,
1174,0
1175,0
1179,0
1186,0
1187,
1198,0
1199,
1206,
1217,0
1227,0
1234,0
1237,0
1238,0
1243,0
1257,0
1262,0
1268,0
1277,
1278,0
1283,0
1285,0
1286,0
1301,0
1304,0
1309,
1313,0
1323,0
1328,0
1330,0
1333,0
1338,0
1341,0
1357,0
1364,0
1372,0
1376,0
1379,0
1382,0
1383,0
1388,0
1392,0
1394,0
1409,0
1419,0
1427,0
1433,0
1440,0
1442,0
1456,0
1458,0
1459,0
1460,0
1465,0
1471,0
1473,0
1475,0
1486,0
1488,0
1499,0
1502,0
1513,0
1537,0
1542,0
1604,0
1621,0
1624,0
1625,0
1633,0
1640,0
1641,0
1646,0
1656,0
1660,
1667,0
1669,0
1672,0
1690,0
1696,0
1707,0
1714,0
1735,0
1748,0
1750,0
1752,0
1757,0
1760,0
1762,0
1771,0
1772,0
1774,
1778,0
1781,0
1786,0
1787,0
1798,0
1806,0
1808,0
1811,0
1814,
1820,0
1832,0
1835,0
1853,0
1854,0
1861,0
1862,0
1879,
1885,0
1891,0
1893,0
1897,
1903,0
1904,0
1906,0
1908,0
1921,0
1926,0
1931,0
1939,0
1941,0
1953,0
1965,0
1998,0
2006,0
2010,0
2015,0
2025,0
2046,
2049,0
2050,
2053,0
2059,0
2070,0
2083,0
2087,0
2088,0
2091,0
2092,0
2100,0
2108,0
2119,0
2127,0
2146,0
2150,0
2151,0
2157,0
2160,
2180,0
2190,0
2196,0
2205,0
2212,0
2220,0
2222,0
2229,0
2230,0
2234,
2243,0
2246,0
2253,0
2266,
2268,0
2278,0
2283,0
2284,0
2285,0
2294,0
2296,0
2307,0
2314,0
2323,0
2324,0
2325,0
2327,0
2344,0
2351,0
2353,0
2357,0
2362,1
2363,0
2372,
2376,0
2391,0
2404,0
2406,
2421,0
2424,0
2431,0
2446,
2451,
2453,0
2454,0
2457,0
2468,0
2479,0
2480,0
2481,0
2490,0
2497,0
2507,0
2509,0
2517,0
2527,0
2532,0
2535,0
2536,0
2537,
2561,0
2567,0
2579,0
2585,0
2589,1
2599,0
2610,0
2624,
2628,0
2634,0
2637,
2644,0
2646,0
2647,0
2648,0
2650,0
2659,0
2664,0
2692,0
2693,0
2697,0
2722,1
2739,0
2742,
2750,0
2753,0
2757,0
2765,
2776,0
2788,
2795,0
2830,0
2831,0
2841,0
2851,0
2866,0
2874,0
2881,
2887,0
2889,0
2891,
2899,0
2910,0
2929,0
2935,0
2938,0
2950,0
2951,0
2971,0
2974,
2979,0
2981,0
2985,0
2988,0
2989,0
3003,0
3011,0
3013,0
3029,0
3034,0
3045,0
3047,0
3050,0
3051,0
3052,0
3055,0
3056,0
3058,0
3064,0
3067,1
3073,0
3076,
3089,0
3098,0
3107,0
3110,
3120,0
3123,0
3126,0
3137,
3153,0
3163,0
3165,0
3168,0
3177,0
3184,0
3185,0
3188,0
3193,0
3198,0
3210,0
3211,0
3213,0
3220,0
3224,
3230,1
3231,0
3238,
3243,0
3266,0
3269,0
3271,0
3274,0
3280,0
3287,0
3291,0
3310,0
3314,0
3322,0
3325,1
3326,
3339,
3354,0
3364,0
3365,0
3369,1
3381,0
3392,
3396,0
3402,
3405,0
3406,0
3407,0
3412,0
3413,0
3418,
3424,0
3429,
3437,0
3454,0
3457,0
3458,1
3478,0
3482,0
3492,0
3497,0
3504,0
3519,0
3520,0
3521,0
3540,0
3541,0
3546,0
3560,0
3563,0
3566,0
3572,0
3576,
3577,0
3585,0
3605,0
3607,
3610,0
3612,0
3614,0
3625,0
3630,0
3631,0
3632,0
3652,
3653,0
3657,0
3664,0
3668,
3672,
3675,0
3678,0
3680,0
3681,0
3683,0
3688,0
3691,0
3693,0
3695,0
3702,0
3704,0
3710,0
3717,0
3722,0
3726,
3730,0
3732,0
3733,0
3738,0
3741,0
3742,0
3744,0
3745,0
3750,0
3763,0
3769,0
3777,0
3779,0
3785,0
3794,0
3798,
3803,0
3810,0
3815,0
3818,0
3819,0
3828,0
3835,0
3846,0
3849,
3858,0
3864,1
3866,0
3873,0
3879,0
3885,0
3888,0
3891,0
3898,
3900,0
3901,0
3904,0
3912,0
3918,0
3925,0
3929,0
3937,0
3939,0
3957,
3960,
3964,
3971,
3974,0
3976,1
3981,0
3986,0
3999,0
4006,0
4013,0
4017,0
4020,0
4022,0
4024,0
4026,
4033,0
4036,0
4038,0
4049,0
4067,0
4068,0
4072,0
4074,0
4075,0
4081,0
4092,0
4093,0
4094,
4097,0
4109,0
4113,0
4115,
4121,0
4124,0
4130,0
4132,0
4137,0
4144,0
4154,0
4156,0
4159,0
4164,0
4176,0
4179,0
4186,0
4187,0
4197,0
4198,0
4206,0
4218,0
4225,0
4232,0
4235,0
4249,0
4261,0
4266,
4272,0
4277,0
4283,0
4284,0
4293,
4302,
4304,0
4305,0
4306,0
4308,0
4328,0
4331,
4335,0
4346,0
4355,0
4364,0
4367,0
4370,
4376,0
4380,0
4381,0
4388,0
4395,0
4398,0
4400,0
4407,0
4413,0
4416,0
4418,0
4419,0
4420,1
4422,0
4431,0
4441,
4468,
4471,0
4472,0
4478,0
4479,0
4480,0
4486,0
4490,
4493,0
4494,0
4496,0
4506,0
4513,0
4524,0
4544,0
4545,0
4555,0
4559,0
4567,0
4574,0
4576,0
4580,0
4581,0
4585,0
4597,0
4603,0
4610,0
4614,
4634,0
4637,
4642,0
4651,0
4653,0
4655,0
4660,0
4669,0
4674,0
4681,0
4682,0
4683,0
4684,0
4685,0
4689,0
4704,0
4705,0
4713,0
4714,0
4716,0
4717,
4718,
4721,0
4737,0
4750,0
4752,0
4757,0
4759,0
4764,0
4773,0
4781,0
4783,0
4796,0
4797,
4804,1
4810,0
4813,0
4821,0
4830,0
4832,0
4835,0
4839,
4841,
4842,0
4846,0
4851,0
4852,0
4857,0
4866,
4873,0
4875,0
4880,0
4881,0
4898,0
4899,0
4903,0
4910,0
4912,1
4916,0
4927,
4939,0
4952,0
4976,0
4984,0
4988,0
4989,0
5000,0
5007,0
5009,0
5014,0
5019,0
5027,0
5028,
5029,
5055,0
5056,0
5073,0
5075,0
5083,0
5084,0
5085,
