,id,age,gender,race,city,state,Year
117,2335,53.0,Male,White,Golden Shores,AZ,2017
118,2337,19.0,Male,Black,Detroit,MI,2017
119,2338,53.0,Male,White,Columbus,OH,2017
120,2339,35.0,Male,White,Vincennes,IN,2017
121,2709,64.0,Male,White,Shelbyville,IN,2017
122,2342,24.0,Male,Black,Durham,NC,2017
123,2344,33.0,Male,White,Cape Girardeau,MO,2017
124,2345,55.0,Male,Hispanic,Newman,CA,2017
125,2346,17.0,Male,Black,Brooklyn,NY,2017
126,2349,48.0,Male,Hispanic,San Antonio,TX,2017
127,2350,21.0,Male,Black,Gardena,CA,2017
128,2710,22.0,Male,White,Douglas City,CA,2017
129,2359,30.0,Male,White,Grand Prarie,TX,2017
130,2361,34.0,Male,White,Tulsa,OK,2017
131,2363,35.0,Male,Black,Big Lake,AK,2017
132,2364,32.0,Male,White,Oakland,CA,2017
133,2351,22.0,Male,Black,Portland,ME,2017
134,2352,46.0,Male,Black,Efland,NC,2017
135,2356,27.0,Male,Black,Kent,OH,2017
136,2358,18.0,Male,Hispanic,New York,NY,2017
137,2360,33.0,Male,White,Bull Shoals,AR,2017
138,2362,26.0,Male,Hispanic,Tucson,AZ,2017
139,2353,27.0,Male,White,St. Joseph,MO,2017
140,2357,51.0,Male,White,Beaverton,OR,2017
141,2365,63.0,Male,Black,St. Louis,MO,2017
142,2366,38.0,Male,Hispanic,Roy,UT,2017
143,2367,25.0,Male,Hispanic,Ogden,UT,2017
144,2368,39.0,Male,Hispanic,Colorado Springs,CO,2017
145,2369,41.0,Male,Black,Conroe,TX,2017
146,2371,26.0,Male,White,Princeton,WV,2017
147,2372,30.0,Female,Black,Austin,TX,2017
148,2370,33.0,Male,Hispanic,Newton,KS,2017
149,2375,38.0,Male,White,Columbus,OH,2017
150,2376,24.0,Male,Hispanic,Reno,NV,2017
151,2377,47.0,Male,Black,Washington,DC,2017
152,2386,62.0,Male,White,Reading,PA,2017
153,2388,30.0,Male,White,London,KY,2017
154,2390,33.0,Female,White,Lake Jackson,TX,2017
155,2383,23.0,Male,Black,Rocklin,CA,2017
156,2384,39.0,Male,White,Lumpkin,GA,2017
157,2379,41.0,Male,White,Englewood,FL,2017
158,2380,46.0,Female,White,Ripon,CA,2017
159,2381,36.0,Male,White,Aragonite,UT,2017
160,2382,66.0,Male,White,Floral City,FL,2017
161,2378,27.0,Male,White,Shelby,NC,2017
162,2391,40.0,Male,White,Corning,WI,2017
163,2393,25.0,Male,Black,Houston,TX,2017
164,2394,20.0,Male,Black,Orlando,FL,2017
165,2711,43.0,Male,Hispanic,Houma,LA,2017
166,2392,40.0,Male,Black,Lufkin,TX,2017
167,2395,33.0,Male,White,Rib Mountain,WI,2017
168,2396,34.0,Male,Hispanic,San Marcos,CA,2017
169,2397,27.0,Male,Hispanic,Phoenix,AZ,2017
170,2398,25.0,Male,Hispanic,Reno,NV,2017
171,2435,37.0,Male,Hispanic,Paterson,NJ,2017
172,2401,32.0,Male,White,Englewood,CO,2017
173,2403,25.0,Male,Native,Lemoore,CA,2017
174,2399,38.0,Male,White,Oklahoma City,OK,2017
175,2400,50.0,Male,White,Fountain Inn,SC,2017
176,2404,26.0,Male,White,Cabazon,CA,2017
177,2405,38.0,Male,White,Medina,OH,2017
178,2407,91.0,Male,White,Union Township,PA,2017
179,2409,25.0,Male,White,Charlotte,NC,2017
180,2411,29.0,Male,White,Huntington Beach,CA,2017
181,2415,40.0,Male,White,Escondido,CA,2017
182,2413,51.0,Male,White,Midlothian,TX,2017
183,2447,30.0,Male,Black,East Baton Rouge,LA,2017
184,2414,28.0,Male,Hispanic,Bellingham,WA,2017
185,2416,23.0,Male,Black,Euclid,OH,2017
186,2417,23.0,Male,White,Napa,CA,2017
187,2421,20.0,Male,Black,Woodlawn,MD,2017
188,2419,56.0,Male,White,Toms River,NJ,2017
189,2422,36.0,Male,White,Fife,WA,2017
190,2423,18.0,Male,White,Westminster,CO,2017
191,2424,43.0,Male,White,Panama City Beach,FL,2017
192,2426,16.0,Female,Hispanic,Hayward,CA,2017
193,2418,29.0,Male,Black,St. Paul,MN,2017
194,2428,25.0,Male,White,Phoenix,AZ,2017
195,2429,34.0,Male,Black,Warren,MI,2017
196,2431,32.0,Male,Black,Milwaukee,WI,2017
197,2433,58.0,Male,White,Deltona,FL,2017
198,2434,36.0,Male,Black,Alamo,TN,2017
199,2436,25.0,Male,White,Presque Isle,ME,2017
200,2439,59.0,Female,White,Lakeland,TN,2017
201,2437,25.0,Male,White,Wichita,KS,2017
202,2438,42.0,Male,White,Boise,ID,2017
203,2446,36.0,Male,White,Cedartown,GA,2017
204,2441,59.0,Male,White,Affton,MO,2017
205,2442,21.0,Female,Black,Gifford,FL,2017
206,2443,19.0,Male,White,Cape Canaveral,FL,2017
207,2444,45.0,Male,Hispanic,DeLand,FL,2017
208,2448,42.0,Male,White,Booneville,KY,2017
209,2450,27.0,Male,Black,Crowley,LA,2017
210,2477,45.0,Male,Asian,Weston,WI,2017
211,2449,51.0,Male,Black,Des Moines,WA,2017
212,2451,42.0,Male,Black,Sheridan,AR,2017
213,2453,24.0,Male,Hispanic,Phoenix,AZ,2017
214,2452,39.0,Male,Black,Baltimore,MD,2017
215,2456,18.0,Male,White,Cottonwood,CA,2017
216,2458,26.0,Male,Hispanic,Cisco,TX,2017
217,2454,35.0,Male,Hispanic,Los Angeles,CA,2017
218,2455,53.0,Male,White,Anderson,CA,2017
219,2457,54.0,Male,White,Little Rock,AR,2017
220,2459,36.0,Male,White,Wasilla,AK,2017
221,2712,56.0,Male,White,Delray Beach,FL,2017
222,2460,51.0,Male,White,Lewisburg,TN,2017
223,2461,45.0,Male,White,Columbus,MS,2017
224,2462,28.0,Male,White,Montgomery Village,MD,2017
