Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Saudi Arabia,529995,0,8284,0,511318,0,10393,1396,14970,234.0,25443550,718663,35404015,Asia,67,4274,1,0.0,0,294
Greece,503885,0,12988,0,458922,0,31975,192,48603,1253.0,13113083,1264835,10367427,Europe,21,798,1,0.0,0,3084
Ecuador,489089,0,31694,0,443880,0,13515,759,27271,1767.0,1693852,94446,17934690,South America,37,566,11,0.0,0,754
Bolivia,476097,832,17910,28,411830,997,46357,200,40189,1512.0,2094856,176835,11846412,South America,25,661,6,70.0,2,3913
Paraguay,453794,0,15172,0,423964,0,14658,314,62783,2099.0,1695926,234634,7227971,South America,16,476,4,0.0,0,2028
Belarus,449302,0,3494,0,443417,0,2391,0,47566,370.0,7352203,778346,9445929,Europe,21,2703,1,0.0,0,253
Panama,438781,0,6860,0,420113,0,11808,133,99980,1563.0,3407604,776450,4388696,North America,10,640,1,0.0,0,2691
Georgia,436573,3670,5986,38,393453,2626,37134,0,109670,1504.0,6964979,1749641,3980804,Asia,9,665,1,922.0,10,9328
Bulgaria,426432,0,18229,0,398721,0,9482,90,61880,2645.0,3692501,535823,6891273,Europe,16,378,2,0.0,0,1376
Cuba,422614,0,3091,0,373354,0,46169,368,37336,273.0,6688393,590896,11319067,North America,27,3662,2,0.0,0,4079
Costa Rica,412918,0,5087,0,334759,0,73072,381,80259,989.0,1796836,349251,5144820,North America,12,1011,3,0.0,0,14203
Kuwait,400979,0,2351,0,388880,0,9748,267,92406,542.0,3457189,796711,4339328,Asia,11,1846,1,0.0,0,2246
Slovakia,392898,53,12541,0,379678,34,679,8,71926,2296.0,3173282,580918,5462529,Europe,14,436,2,10.0,0,124
Uruguay,381994,0,5979,0,374203,0,1812,44,109552,1715.0,3093592,887213,3486866,South America,9,583,1,0.0,0,520
Guatemala,377446,0,10524,0,331374,0,35548,5,20652,576.0,1909217,104465,18276055,North America,48,1737,10,0.0,0,1945
Croatia,364491,247,8270,3,355000,170,1221,14,89389,2028.0,2332341,571989,4077601,Europe,11,493,2,61.0,0,299
Azerbaijan,346878,0,5039,0,333694,0,8145,0,33879,492.0,4070700,397576,10238791,Asia,30,2032,3,0.0,0,796
Dominican Republic,343186,0,3971,0,324861,0,14354,175,31294,362.0,1852127,168890,10966459,North America,32,2762,6,0.0,0,1309
