,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,USA,"33,772,391","+24,952","601,279 ",+681,"27,246,626","+44,317","5,924,486","7,756","101,510","1,807","467,944,076","1,406,499","332,701,437 ",North America,10,553,1,75,2,"17,807"
1,India,"25,495,144","+267,174","283,276 ","+4,525","21,979,703","+389,700","3,232,165","8,944","18,317",204,"318,292,881","228,681","1,391,864,443 ",Asia,55,"4,913",4,192,3,"2,322"
2,Brazil,"15,732,836","+71,730","439,050 ","+2,188","14,152,433",,"1,141,353","8,318","73,559","2,053","47,073,060","220,090","213,881,340 ",South America,14,487,5,335,10,"5,336"
3,France,"5,898,347","+17,210","108,040 ",+198,"5,181,684","+29,118","608,623","4,015","90,189","1,652","81,932,887","1,252,795","65,400,058 ",Europe,11,605,1,263,3,"9,306"
4,Turkey,"5,139,485","+11,937","45,186 ",+203,"4,971,245","+10,125","123,054","2,232","60,371",531,"51,294,008","602,522","85,132,141 ",Asia,17,"1,884",2,140,2,"1,445"
5,Russia,"4,957,756","+8,183","116,575 ",+364,"4,572,226","+8,972","268,955","2,300","33,960",799,"134,000,000","917,875","145,989,315 ",Europe,29,"1,252",1,56,2,"1,842"
6,UK,"4,450,392","+2,412","127,691 ",+7,"4,281,947","+2,680","40,754",125,"65,257","1,872","171,398,433","2,513,241","68,198,176 ",Europe,15,534,0,35,0.1,598
7,Italy,"4,167,025","+4,452","124,497 ",+201,"3,727,220","+11,831","315,308","1,689","69,009","2,062","63,284,455","1,048,036","60,383,853 ",Europe,14,485,1,74,3,"5,222"
8,Spain,"3,619,848","+3,988","79,502 ",+70,"3,342,024","+8,437","198,322","1,774","77,396","1,700","48,928,535","1,046,138","46,770,653 ",Europe,13,588,1,85,1,"4,240"
9,Germany,"3,615,896","+7,604","87,148 ",+278,"3,320,300","+19,600","208,448","4,015","43,037","1,037","58,093,759","691,439","84,018,598 ",Europe,23,964,1,91,3,"2,481"
10,Argentina,"3,371,508","+35,543","71,771 ",+744,"2,992,325","+19,058","307,412","5,813","74,004","1,575","12,602,579","276,625","45,558,380 ",South America,14,635,4,780,16,"6,748"
11,Colombia,"3,144,547","+13,137","82,291 ",+482,"2,947,661","+16,381","114,595","6,582","61,229","1,602","15,998,997","311,526","51,356,849 ",South America,16,624,3,256,9,"2,231"
12,Poland,"2,856,924","+1,734","71,920 ",+245,"2,609,216","+3,513","175,788","1,418","75,559","1,902","15,184,082","401,586","37,810,261 ",Europe,13,526,2,46,6,"4,649"
13,Iran,"2,779,415","+13,930","77,532 ",+310,"2,258,046","+16,023","443,837","5,173","32,725",913,"18,285,393","215,295","84,931,806 ",Asia,31,"1,095",5,164,4,"5,226"
14,Mexico,"2,382,745",+822,"220,489 ",+56,"1,903,494","+2,172","258,762","4,798","18,312","1,695","6,856,267","52,693","130,116,629 ",North America,55,590,19,6,0.4,"1,989"
15,Ukraine,"2,160,095","+4,095","48,469 ",+285,"1,882,344","+17,751","229,282",177,"49,654","1,114","9,851,754","226,461","43,503,055 ",Europe,20,898,4,94,7,"5,270"
16,Peru,"1,893,334",,"66,471 ",,"1,720,665",,"106,198","2,665","56,733","1,992","12,118,928","363,138","33,372,810 ",South America,18,502,3,,,"3,182"
17,Indonesia,"1,748,230","+4,185","48,477 ",+172,"1,612,239","+5,628","87,514",,"6,333",176,"15,653,438","56,705","276,051,328 ",Asia,158,"5,694",18,15,0.6,317
18,Czechia,"1,654,219","+1,126","29,933 ",+8,"1,599,881",+101,"24,405",239,"154,220","2,791","21,701,619","2,023,199","10,726,389 ",Europe,6,358,0,105,0.7,"2,275"
19,South Africa,"1,617,840","+2,355","55,340 ",+80,"1,527,968","+1,330","34,532",546,"26,981",923,"11,166,950","186,235","59,961,755 ",Africa,37,"1,084",5,39,1,576
20,Netherlands,"1,606,319","+5,326","17,473 ",+17,"1,386,377","+8,498","202,469",649,"93,564","1,018","13,524,699","787,781","17,168,090 ",Europe,11,983,1,310,1.0,"11,793"
21,Canada,"1,337,730","+3,622","25,016 ",+33,"1,247,832","+6,332","64,882","1,344","35,174",658,"33,592,273","883,275","38,031,520 ",North America,28,"1,520",1,95,0.9,"1,706"
22,Chile,"1,295,862","+3,766","27,965 ",+31,"1,231,047","+5,201","36,850","2,979","67,284","1,452","14,043,876","729,185","19,259,697 ",South America,15,689,1,196,2,"1,913"
23,Philippines,"1,154,388","+4,487","19,372 ",+110,"1,082,725","+6,383","52,291","1,819","10,414",175,"12,660,106","114,205","110,854,565 ",Asia,96,"5,722",9,40,1.0,472
24,Iraq,"1,146,948","+4,023","16,029 ",+34,"1,056,885","+6,198","74,034",475,"27,969",391,"9,929,858","242,144","41,008,092 ",Asia,36,"2,558",4,98,0.8,"1,805"
25,Romania,"1,072,972",+681,"29,662 ",+91,"1,027,412","+1,113","15,898",716,"56,103","1,551","8,721,739","456,039","19,124,987 ",Europe,18,645,2,36,5,831
26,Sweden,"1,047,143",,"14,301 ",+38,"899,766","+4,006","133,076",306,"103,122","1,408","9,481,745","933,760","10,154,374 ",Europe,10,710,1,,4,"13,105"
27,Belgium,"1,032,895",+972,"24,723 ",+14,"910,652",,"97,520",616,"88,784","2,125","13,306,670","1,143,795","11,633,788 ",Europe,11,471,1,84,1,"8,382"
28,Pakistan,"882,928","+2,566","19,752 ",+135,"795,511","+2,989","67,665","4,361","3,931",88,"12,510,568","55,694","224,629,527 ",Asia,254,"11,372",18,11,0.6,301
29,Portugal,"842,767",+386,"17,011 ",+2,"803,759",+568,"21,997",66,"82,863","1,673","11,233,120","1,104,467","10,170,624 ",Europe,12,598,1,38,0.2,"2,163"
30,Israel,"839,167",+8,"6,392 ",+3,"832,144",+51,631,60,"91,238",695,"14,487,253","1,575,114","9,197,590 ",Asia,11,"1,439",1,0.9,0.3,69
31,Hungary,"798,955",+382,"29,277 ",+64,"640,964","+9,988","128,714",251,"82,889","3,037","5,656,131","586,807","9,638,832 ",Europe,12,329,2,40,7,"13,354"
32,Bangladesh,"782,129","+1,272","12,211 ",+30,"724,209","+1,115","45,709","1,156","4,708",74,"5,734,918","34,522","166,123,581 ",Asia,212,"13,604",29,8,0.2,275
33,Jordan,"726,432","+1,174","9,295 ",+19,"710,445",,"6,692",729,"70,584",903,"7,001,979","680,354","10,291,674 ",Asia,14,"1,107",1,114,2,650
34,Serbia,"707,719",+686,"6,710 ",+14,"681,248","+1,992","19,761",86,"81,286",771,"4,030,710","462,955","8,706,484 ",Europe,12,"1,298",2,79,2,"2,270"
35,Japan,"687,825","+3,680","11,591 ",+83,"602,356","+7,179","73,878","1,235","5,453",92,"13,220,299","104,809","126,136,748 ",Asia,183,"10,882",10,29,0.7,586
36,Switzerland,"683,400","+1,240","10,751 ",+7,"621,695",,"50,954",174,"78,462","1,234","7,360,542","845,069","8,709,992 ",Europe,13,810,1,142,0.8,"5,850"
37,Austria,"638,155",+582,"10,499 ",+19,"618,798","+1,491","8,858",275,"70,504","1,160","36,840,818","4,070,190","9,051,376 ",Europe,14,862,0,64,2,979
38,UAE,"548,681","+1,270","1,637 ",+4,"528,769","+1,250","18,275",,"54,897",164,"47,264,038","4,728,870","9,994,784 ",Asia,18,"6,106",0,127,0.4,"1,828"
39,Lebanon,"536,554",+600,"7,641 ",+10,"502,762","+1,890","26,151",305,"78,921","1,124","4,224,382","621,359","6,798,617 ",Asia,13,890,2,88,1,"3,847"
40,Morocco,"515,420",+397,"9,105 ",+1,"503,861",+378,"2,454",112,"13,821",244,"6,396,074","171,510","37,292,743 ",Africa,72,"4,096",6,11,0.03,66
41,Malaysia,"479,421","+4,865","1,994 ",+47,"432,600","+3,497","44,827",531,"14,649",61,"10,663,780","325,829","32,728,141 ",Asia,68,"16,413",3,149,1,"1,370"
42,Nepal,"472,354","+8,136","5,411 ",+196,"352,414","+6,891","114,529",,"15,961",183,"2,812,959","95,053","29,593,654 ",Asia,63,"5,469",11,275,7,"3,870"
43,Saudi Arabia,"435,027","+1,047","7,188 ",+14,"419,761",+847,"8,078","1,384","12,328",204,"18,106,104","513,111","35,286,908 ",Asia,81,"4,909",2,30,0.4,229
44,Bulgaria,"415,326",+457,"17,379 ",+36,"367,464","+2,782","30,483",485,"60,170","2,518","2,698,506","390,946","6,902,499 ",Europe,17,397,3,66,5,"4,416"
45,Ecuador,"411,466",+596,"19,877 ",+91,"354,499",,"37,090",599,"23,017","1,112","1,374,244","76,873","17,876,829 ",South America,43,899,13,33,5,"2,075"
46,Slovakia,"387,892",+233,"12,248 ",+10,"371,371",+367,"4,273",188,"71,017","2,242","2,772,844","507,665","5,461,960 ",Europe,14,446,2,43,2,782
47,Greece,"381,266","+2,781","11,534 ",+63,"340,612",,"29,120",639,"36,737","1,111","8,950,025","862,374","10,378,362 ",Europe,27,900,1,268,6,"2,806"
48,Belarus,"378,711","+1,179","2,721 ",+10,"368,832",+992,"7,158",,"40,090",288,"6,113,124","647,124","9,446,598 ",Europe,25,"3,472",2,125,1,758
49,Panama,"371,145",,"6,297 ",,"359,481",,"5,367",105,"84,852","1,440","2,528,006","577,959","4,374,024 ",North America,12,695,2,,,"1,227"
50,Kazakhstan,"362,030","+1,837","4,095 ",+22,"320,241","+2,500","37,694",221,"19,081",216,"10,989,671","579,230","18,972,900 ",Asia,52,"4,633",2,97,1,"1,987"
51,Croatia,"350,997",+491,"7,765 ",+27,"338,361",+886,"4,871",166,"85,965","1,902","1,937,595","474,547","4,083,037 ",Europe,12,526,2,120,7,"1,193"
52,Bolivia,"334,824","+2,257","13,566 ",+49,"273,403","+1,713","47,855",200,"28,346","1,148","1,319,283","111,690","11,812,036 ",South America,35,871,9,191,4,"4,051"
53,Georgia,"332,441","+1,562","4,499 ",+30,"312,349","+1,490","15,593",,"83,476","1,130","4,621,001","1,160,341","3,982,451 ",Asia,12,885,1,392,8,"3,915"
54,Azerbaijan,"330,701",+432,"4,802 ",+10,"316,439","+1,024","9,460",,"32,361",470,"3,404,046","333,107","10,219,085 ",Asia,31,"2,128",3,42,1.0,926
55,Tunisia,"328,528","+1,055","11,971 ",+72,"290,282","+1,347","26,275",445,"27,546","1,004","1,397,361","117,162","11,926,699 ",Africa,36,996,9,88,6,"2,203"
56,Paraguay,"315,547",,"7,692 ",,"262,336",,"45,519",560,"43,771","1,067","1,200,299","166,499","7,209,064 ",South America,23,937,6,,,"6,314"
57,Palestine,"304,074",,"3,437 ",,"293,808",,"6,829",66,"58,424",660,"1,793,407","344,581","5,204,602 ",Asia,17,"1,514",3,,,"1,312"
58,Kuwait,"293,574","+1,084","1,701 ",+5,"279,924","+1,100","11,949",182,"67,868",393,"2,477,308","572,697","4,325,689 ",Asia,15,"2,543",2,251,1,"2,762"
59,Costa Rica,"290,920","+2,294","3,673 ",+48,"225,158",+804,"62,089",499,"56,657",715,"1,093,074","212,876","5,134,790 ",North America,18,"1,398",5,447,9,"12,092"
60,Dominican Republic,"278,549",+630,"3,597 ",+8,"234,370",+272,"40,582",302,"25,455",329,"1,487,136","135,898","10,942,996 ",North America,39,"3,042",7,58,0.7,"3,708"
61,Denmark,"268,255",+916,"2,503 ",,"252,686","+1,021","13,066",23,"46,171",431,"47,951,266","8,253,136","5,810,066 ",Europe,22,"2,321",0,158,,"2,249"
62,Ethiopia,"267,100",+454,"4,021 ",+13,"221,451",+809,"41,628",558,"2,274",34,"2,661,450","22,662","117,440,068 ",Africa,440,"29,207",44,4,0.1,354
63,Lithuania,"266,795",+685,"4,126 ",+10,"242,103","+2,024","20,566",191,"99,222","1,534","3,129,567","1,163,896","2,688,871 ",Europe,10,652,1,255,4,"7,649"
64,Ireland,"256,390",+358,"4,941 ",,"238,567",+270,"12,882",39,"51,422",991,"4,729,538","948,567","4,985,980 ",Europe,19,"1,009",1,72,,"2,584"
65,Moldova,"254,075",+121,"6,043 ",+9,"245,263",+232,"2,769",134,"63,113","1,501","1,054,956","262,053","4,025,739 ",Europe,16,666,4,30,2,688
66,Slovenia,"249,921",+497,"4,333 ",+6,"238,517",+887,"7,071",113,"120,201","2,084","1,236,479","594,693","2,079,189 ",Europe,8,480,2,239,3,"3,401"
67,Egypt,"246,909",,"14,388 ",,"182,024",,"50,497",90,"2,374",138,"2,715,258","26,104","104,016,476 ",Africa,421,"7,229",38,,,485
68,Uruguay,"246,026","+3,120","3,578 ",+57,"214,578","+2,527","27,870",498,"70,610","1,027","2,030,566","582,780","3,484,274 ",South America,14,974,2,895,16,"7,999"
69,Guatemala,"242,784","+1,256","7,913 ",+20,"223,244","+1,195","11,627",5,"13,337",435,"1,353,442","74,347","18,204,421 ",North America,75,"2,301",13,69,1,639
70,Honduras,"227,516",+797,"5,970 ",+10,"82,920",+318,"138,626",536,"22,656",595,"681,751","67,890","10,042,033 ",North America,44,"1,682",15,79,1.0,"13,805"
71,Armenia,"221,139",+212,"4,346 ",+13,"209,222",+323,"7,571",,"74,505","1,464","1,042,821","351,343","2,968,096 ",Asia,13,683,3,71,4,"2,551"
72,Venezuela,"216,415",,"2,411 ",,"200,381",,"13,623",316,"7,630",85,"3,359,014","118,420","28,365,252 ",South America,131,"11,765",8,,,480
73,Qatar,"213,855",+370,536 ,+4,"208,614",+818,"4,705",179,"76,164",191,"1,977,199","704,180","2,807,805 ",Asia,13,"5,238",1,132,1,"1,676"
74,Oman,"207,109",+812,"2,219 ",+13,"191,539",+474,"13,351",244,"39,680",425,"1,550,000","296,961","5,219,545 ",Asia,25,"2,352",3,156,2,"2,558"
75,Bahrain,"204,524","+1,968",765 ,+13,"186,961","+1,342","16,798",187,"116,682",436,"4,393,681","2,506,628","1,752,825 ",Asia,9,"2,291",0,"1,123",7,"9,583"
76,Bosnia and Herzegovina,"202,675",+185,"9,070 ",+19,"170,256",+801,"23,349",,"62,115","2,780","949,432","290,978","3,262,899 ",Europe,16,360,3,57,6,"7,156"
77,Libya,"182,012",+298,"3,097 ",+5,"168,785",+407,"10,130",,"26,178",445,"989,906","142,374","6,952,869 ",Africa,38,"2,245",7,43,0.7,"1,457"
78,Kenya,"166,006",+469,"3,021 ",+8,"113,917",+43,"49,068",108,"3,029",55,"1,752,693","31,982","54,802,355 ",Africa,330,"18,140",31,9,0.1,895
79,Nigeria,"165,778",,"2,067 ",,"156,415",,"7,296",11,787,10,"2,002,653","9,510","210,582,794 ",Africa,"1,270","101,878",105,,,35
80,North Macedonia,"154,804",+79,"5,232 ",+2,"146,302",+259,"3,270",111,"74,307","2,511","760,498","365,045","2,083,299 ",Europe,13,398,3,38,1.0,"1,570"
81,Sri Lanka,"146,936","+1,734",981 ,,"121,145","+1,516","24,810",,"6,837",46,"3,075,321","143,092","21,491,868 ",Asia,146,"21,908",7,81,,"1,154"
