,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,USA,"35,082,093",+374,"625,401 ",+38,"29,435,415",+244,"5,021,277","6,349","105,339","1,878","518,658,231","1,557,344","333,040,210 ",North America,9,533,1,1,0.1,"15,077"
1,India,"31,216,337","+1,195","418,511 ",,"30,390,687","+7,686","407,139","8,944","22,390",300,"449,193,273","322,179","1,394,235,023 ",Asia,45,"3,331",3,0.9,,292
2,Brazil,"19,419,741",,"544,302 ",,"18,124,621",,"750,818","8,318","90,685","2,542","54,786,381","255,838","214,145,148 ",South America,11,393,4,,,"3,506"
3,Russia,"6,030,240","+23,704","150,705 ",+783,"5,404,797","+22,584","474,738","2,300","41,303","1,032","160,300,000","1,097,944","146,000,220 ",Europe,24,969,1,162,5,"3,252"
4,France,"5,890,062",,"111,525 ",,"5,663,776",,"114,761",876,"90,027","1,705","99,504,244","1,520,885","65,425,241 ",Europe,11,587,1,,,"1,754"
5,Turkey,"5,546,166",,"50,650 ",,"5,395,300",,"100,216",543,"65,027",594,"65,300,191","765,619","85,290,746 ",Asia,15,"1,684",1,,,"1,175"
6,UK,"5,519,602",,"128,823 ",,"4,411,839",,"978,940",611,"80,861","1,887","234,640,904","3,437,438","68,260,406 ",Europe,12,530,0,,,"14,341"
7,Argentina,"4,784,219",,"102,381 ",,"4,420,995",,"260,843","4,643","104,846","2,244","18,420,915","403,694","45,630,830 ",South America,10,446,2,,,"5,716"
8,Colombia,"4,668,750",,"117,131 ",,"4,422,866",,"128,753","8,155","90,741","2,277","21,744,142","422,613","51,451,630 ",South America,11,439,2,,,"2,502"
9,Italy,"4,293,083",,"127,884 ",,"4,115,889",,"49,310",165,"71,115","2,118","75,100,357","1,244,035","60,368,368 ",Europe,14,472,1,,,817
10,Spain,"4,189,136",,"81,148 ",,"3,676,323",,"431,665","1,116","89,562","1,735","55,184,196","1,179,810","46,773,809 ",Europe,11,576,1,,,"9,229"
11,Germany,"3,754,828",,"91,938 ",,"3,642,000","+1,000","20,890",361,"44,666","1,094","65,845,568","783,267","84,065,322 ",Europe,22,914,1,,,248
12,Iran,"3,603,527","+27,379","87,837 ",+213,"3,185,946","+17,112","329,744","4,518","42,335","1,032","24,892,912","292,446","85,119,790 ",Asia,24,969,3,322,3,"3,874"
13,Indonesia,"2,983,830","+33,772","77,583 ","+1,383","2,356,553","+32,887","549,694",,"10,789",281,"23,819,584","86,129","276,556,785 ",Asia,93,"3,565",12,122,5,"1,988"
14,Poland,"2,881,718",+124,"75,222 ",+3,"2,653,034",,"153,462",61,"76,230","1,990","18,228,205","482,189","37,803,040 ",Europe,13,503,2,3,0.08,"4,060"
15,Mexico,"2,678,297","+13,853","236,810 ",+341,"2,104,298","+8,345","337,189","4,798","20,546","1,817","8,003,778","61,401","130,353,354 ",North America,49,550,16,106,3,"2,587"
16,South Africa,"2,311,232",,"67,676 ",,"2,085,119",,"158,437",546,"38,461","1,126","14,310,166","238,136","60,092,502 ",Africa,26,888,4,,,"2,637"
17,Ukraine,"2,245,930",+655,"52,769 ",+13,"2,182,502",+577,"10,659",177,"51,681","1,214","11,200,678","257,740","43,457,353 ",Europe,19,824,4,15,0.3,245
18,Peru,"2,096,013",,"195,332 ",,N/A,N/A,N/A,"1,981","62,655","5,839","15,073,218","450,577","33,453,146 ",South America,16,171,2,,,"5,381"
