,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
15,Ukraine,"2,156,000","+2,136","48,184 ",+109,"1,864,593","+6,869","243,223",177,"49,559","1,108","9,841,788","226,228","43,503,769 ",Europe,20,903,4,49,3,"5,591"
16,Peru,"1,889,052",,"66,220 ",,"1,720,665",,"102,167","2,680","56,607","1,984","12,091,820","362,339","33,371,555 ",South America,18,504,3,,,"3,061"
17,Indonesia,"1,744,045","+4,295","48,305 ",+212,"1,606,611","+5,754","89,129",,"6,318",175,"15,528,037","56,252","276,043,430 ",Asia,158,"5,715",18,16,0.8,323
18,Czechia,"1,653,099",+257,"29,913 ",+6,"1,596,931",+24,"26,255",250,"154,116","2,789","21,389,353","1,994,097","10,726,335 ",Europe,6,359,1,24,0.6,"2,448"
19,South Africa,"1,615,485","+1,757","55,260 ",+50,"1,526,638","+2,286","33,587",546,"26,943",922,"11,134,553","185,701","59,959,712 ",Africa,37,"1,085",5,29,0.8,560
20,Netherlands,"1,600,993","+2,829","17,456 ",+7,"1,377,879","+8,272","205,658",673,"93,255","1,017","13,524,699","787,786","17,167,986 ",Europe,11,984,1,165,0.4,"11,979"
21,Canada,"1,332,023","+3,441","24,964 ",+16,"1,237,880","+4,593","69,179","1,344","35,025",656,"33,482,165","880,400","38,030,617 ",North America,29,"1,523",1,90,0.4,"1,819"
22,Chile,"1,292,096","+5,548","27,934 ",+102,"1,225,846","+5,495","38,316","2,969","67,090","1,450","14,013,648","727,632","19,259,250 ",South America,15,689,1,288,5,"1,989"
23,Philippines,"1,149,925","+5,979","19,262 ",+72,"1,076,428","+6,602","54,235","1,819","10,374",174,"12,660,106","114,209","110,850,579 ",Asia,96,"5,755",9,54,0.6,489
24,Iraq,"1,142,925","+3,552","15,995 ",+41,"1,050,687","+5,447","76,243",481,"27,872",390,"9,897,459","241,368","41,005,620 ",Asia,36,"2,564",4,87,1.0,"1,859"
25,Romania,"1,072,291",+392,"29,571 ",+48,"1,026,299","+1,154","16,421",753,"56,067","1,546","8,689,588","454,350","19,125,336 ",Europe,18,647,2,20,3,859
26,Sweden,"1,037,126",,"14,275 ",,"892,260",,"130,591",306,"102,138","1,406","9,481,745","933,775","10,154,202 ",Europe,10,711,1,,,"12,861"
27,Belgium,"1,031,923","+1,852","24,709 ",+23,"910,652",,"96,562",616,"88,702","2,124","13,287,222","1,142,137","11,633,650 ",Europe,11,471,1,159,2,"8,300"
28,Pakistan,"880,362","+3,232","19,617 ",+74,"792,522","+3,754","68,223","4,443","3,919",87,"12,480,767","55,564","224,617,789 ",Asia,255,"11,450",18,14,0.3,304
29,Portugal,"842,381",+199,"17,009 ",+2,"803,191",+291,"22,181",72,"82,824","1,672","11,165,909","1,097,850","10,170,705 ",Europe,12,598,1,20,0.2,"2,181"
30,Israel,"839,159",+40,"6,389 ",+7,"832,093",+21,677,63,"91,237",695,"14,487,253","1,575,114","9,197,590 ",Asia,11,"1,440",1,4,0.8,74
31,Hungary,"798,573",+426,"29,213 ",+38,"630,976","+5,888","138,384",258,"82,849","3,031","5,649,027","586,066","9,638,898 ",Europe,12,330,2,44,4,"14,357"
32,Bangladesh,"780,857",+698,"12,181 ",+32,"723,094","+1,058","45,582","1,139","4,701",73,"5,718,063","34,421","166,119,101 ",Asia,213,"13,638",29,4,0.2,274
33,Jordan,"725,258","+1,104","9,276 ",+17,"710,445",,"5,537",729,"70,472",901,"6,972,177","677,476","10,291,397 ",Asia,14,"1,109",1,107,2,538
34,Serbia,"707,033",+575,"6,696 ",+15,"679,256","+2,121","21,081",93,"81,207",769,"4,018,840","461,587","8,706,580 ",Europe,12,"1,300",2,66,2,"2,421"
35,Japan,"683,175","+5,263","11,508 ",+45,"595,177","+5,133","76,490","1,227","5,416",91,"13,122,469","104,033","126,137,802 ",Asia,185,"10,961",10,42,0.4,606
36,Switzerland,"682,160","+2,650","10,744 ",+13,"621,695","+1,400","49,721",183,"78,321","1,234","7,338,506","842,556","8,709,819 ",Europe,13,811,1,304,1,"5,709"
37,Austria,"637,573",+476,"10,480 ",+6,"617,307","+1,159","9,786",293,"70,440","1,158","36,531,447","4,036,073","9,051,236 ",Europe,14,864,0,53,0.7,"1,081"
38,UAE,"547,411","+1,229","1,633 ",+2,"527,519","+1,217","18,259",,"54,771",163,"47,061,854","4,708,795","9,994,457 ",Asia,18,"6,120",0,123,0.2,"1,827"
39,Lebanon,"535,954",+201,"7,631 ",+11,"500,872","+3,674","27,451",323,"78,832","1,122","4,206,316","618,694","6,798,700 ",Asia,13,891,2,30,2,"4,038"
40,Morocco,"515,023",+79,"9,104 ",+6,"503,483",+302,"2,436",95,"13,811",244,"6,384,989","171,218","37,291,548 ",Africa,72,"4,096",6,2,0.2,65
41,Malaysia,"474,556","+4,446","1,947 ",+45,"429,103","+2,784","43,506",522,"14,500",59,"10,573,102","323,070","32,727,008 ",Asia,69,"16,809",3,136,1,"1,329"
42,Nepal,"464,218","+9,198","5,215 ",+214,"345,523","+5,767","113,480",,"15,687",176,"2,792,673","94,372","29,592,220 ",Asia,64,"5,674",11,311,7,"3,835"
43,Saudi Arabia,"433,980",+886,"7,174 ",+12,"418,914","+1,127","7,892","1,377","12,299",203,"18,032,171","511,037","35,285,426 ",Asia,81,"4,919",2,25,0.3,224
44,Bulgaria,"414,869",+677,"17,343 ",+84,"364,682","+2,207","32,844",490,"60,103","2,513","2,684,714","388,940","6,902,641 ",Europe,17,398,3,98,12,"4,758"
45,Ecuador,"410,870",+741,"19,786 ",+87,"354,499",,"36,585",600,"22,984","1,107","1,370,618","76,673","17,876,097 ",South America,44,903,13,41,5,"2,047"
46,Slovakia,"387,659",+136,"12,238 ",+14,"371,004",+109,"4,417",192,"70,974","2,241","2,765,568","506,333","5,461,953 ",Europe,14,446,2,25,3,809
47,Greece,"378,485","+1,395","11,471 ",+56,"340,612","+2,041","26,402",647,"36,468","1,105","8,879,508","855,567","10,378,501 ",Europe,27,905,1,134,5,"2,544"
48,Belarus,"377,532","+1,191","2,711 ",+10,"367,840",+743,"6,981",,"39,965",287,"6,105,215","646,287","9,446,606 ",Europe,25,"3,485",2,126,1,739
49,Panama,"370,877",,"6,296 ",,"359,214",,"5,367",105,"84,794","1,439","2,524,764","577,242","4,373,839 ",North America,12,695,2,,,"1,227"
50,Kazakhstan,"360,193","+2,089","4,073 ",+19,"317,741","+1,738","38,379",221,"18,985",215,"10,749,824","566,607","18,972,287 ",Asia,53,"4,658",2,110,1,"2,023"
51,Croatia,"350,506",+116,"7,738 ",+30,"337,475","+1,025","5,293",173,"85,843","1,895","1,929,591","472,579","4,083,105 ",Europe,12,528,2,28,7,"1,296"
52,Bolivia,"332,567","+1,051","13,517 ",+24,"271,690","+1,224","47,360",200,"28,156","1,144","1,309,771","110,889","11,811,601 ",South America,36,874,9,89,2,"4,010"
53,Georgia,"330,879",+504,"4,469 ",+27,"310,859","+2,038","15,551",,"83,084","1,122","4,591,316","1,152,881","3,982,471 ",Asia,12,891,1,127,7,"3,905"
54,Azerbaijan,"330,269",+426,"4,792 ",+13,"315,415",+515,"10,062",,"32,320",469,"3,392,930","332,027","10,218,835 ",Asia,31,"2,132",3,42,1,985
55,Tunisia,"326,572",,"11,849 ",,"287,644",,"27,079",445,"27,382",994,"1,387,361","116,327","11,926,362 ",Africa,37,"1,007",9,,,"2,271"
56,Paraguay,"313,527",,"7,596 ",,"260,339",,"45,592",582,"43,492","1,054","1,194,232","165,663","7,208,824 ",South America,23,949,6,,,"6,324"
57,Palestine,"303,827",,"3,428 ",,"292,523",,"7,876",78,"58,380",659,"1,790,483","344,041","5,204,277 ",Asia,17,"1,518",3,,,"1,513"
58,Kuwait,"292,490",+861,"1,696 ",+3,"278,824","+1,004","11,970",191,"67,620",392,"2,467,673","570,492","4,325,517 ",Asia,15,"2,550",2,199,0.7,"2,767"
59,Costa Rica,"282,741",,"3,547 ",,"221,903",,"57,291",489,"55,065",691,"1,093,074","212,881","5,134,663 ",North America,18,"1,448",5,,,"11,158"
60,Dominican Republic,"277,919",+731,"3,589 ",+7,"234,098",+268,"40,232",294,"25,398",328,"1,483,386","135,559","10,942,699 ",North America,39,"3,049",7,67,0.6,"3,677"
61,Denmark,"267,339",+836,"2,503 ",+1,"251,665",+714,"13,171",29,"46,014",431,"47,223,277","8,127,915","5,810,011 ",Europe,22,"2,321",0,144,0.2,"2,267"
62,Ethiopia,"266,646",+382,"4,008 ",+12,"220,642","+1,076","41,996",569,"2,271",34,"2,656,382","22,621","117,432,264 ",Africa,440,"29,299",44,3,0.1,358
63,Lithuania,"266,063",+504,"4,112 ",+7,"240,079",+164,"21,872",178,"98,946","1,529","3,111,213","1,157,026","2,688,974 ",Europe,10,654,1,187,3,"8,134"
64,Ireland,"256,032",+360,"4,941 ",,"238,297",+419,"12,794",42,"51,352",991,"4,729,538","948,596","4,985,829 ",Europe,19,"1,009",1,72,,"2,566"
65,Moldova,"253,954",+109,"6,034 ",+7,"245,031",+174,"2,889",148,"63,082","1,499","1,050,325","260,901","4,025,764 ",Europe,16,667,4,27,2,718
66,Slovenia,"249,424",+113,"4,327 ",+3,"237,630",+206,"7,467",122,"119,962","2,081","1,232,247","592,658","2,079,188 ",Europe,8,481,2,54,1,"3,591"
67,Egypt,"245,721",,"14,327 ",,"181,478",,"49,916",90,"2,362",138,"2,715,258","26,105","104,011,195 ",Africa,423,"7,260",38,,,480
68,Guatemala,"241,528",+159,"7,893 ",+6,"222,049",+751,"11,586",5,"13,268",434,"1,346,074","73,946","18,203,514 ",North America,75,"2,306",14,9,0.3,636
69,Uruguay,"240,512",,"3,459 ",,"209,338",,"27,715",499,"69,029",993,"2,005,217","575,510","3,484,241 ",South America,14,"1,007",2,,,"7,954"
70,Honduras,"226,719",+755,"5,960 ",+6,"82,602",+41,"138,157",536,"22,578",594,"679,008","67,619","10,041,602 ",North America,44,"1,685",15,75,0.6,"13,758"
71,Armenia,"220,927",+67,"4,333 ",+10,"208,899",+445,"7,695",,"74,434","1,460","1,039,050","350,075","2,968,081 ",Asia,13,685,3,23,3,"2,593"
72,Venezuela,"215,301",,"2,396 ",,"199,202",,"13,703",316,"7,590",84,"3,359,014","118,419","28,365,471 ",South America,132,"11,839",8,,,483
73,Qatar,"213,485",+302,532 ,+2,"207,796",+719,"5,157",196,"76,033",189,"1,973,886","703,000","2,807,805 ",Asia,13,"5,278",1,108,0.7,"1,837"
74,Oman,"206,297",+786,"2,206 ",+13,"191,065",+723,"13,026",238,"39,527",423,"1,550,000","296,981","5,219,189 ",Asia,25,"2,366",3,151,2,"2,496"
75,Bosnia and Herzegovina,"202,490",+71,"9,051 ",+25,"169,455",+906,"23,984",,"62,057","2,774","945,559","289,786","3,262,955 ",Europe,16,361,3,22,8,"7,350"
76,Bahrain,"200,977",,746 ,,"183,859",,"16,372",160,"114,670",426,"4,353,926","2,484,178","1,752,663 ",Asia,9,"2,349",0,,,"9,341"
77,Libya,"181,714",+304,"3,092 ",+4,"168,378",+250,"10,244",,"26,136",445,"986,596","141,903","6,952,613 ",Africa,38,"2,249",7,44,0.6,"1,473"
78,Nigeria,"165,709",,"2,066 ",,"156,413",,"7,230",11,787,10,"1,977,479","9,391","210,568,792 ",Africa,"1,271","101,921",106,,,34
79,Kenya,"165,537",+72,"3,013 ",+10,"113,874",+262,"48,650",108,"3,021",55,"1,746,449","31,870","54,799,111 ",Africa,331,"18,188",31,1,0.2,888
80,North Macedonia,"154,725",+27,"5,230 ",+19,"146,043",+192,"3,452",111,"74,269","2,510","757,794","363,747","2,083,299 ",Europe,13,398,3,13,9,"1,657"
81,Sri Lanka,"145,202","+2,456",962 ,,"119,629","+1,307","24,611",,"6,756",45,"3,075,321","143,094","21,491,623 ",Asia,148,"22,341",7,114,,"1,145"
82,Myanmar,"143,097",+32,"3,213 ",+1,"132,123",+8,"7,761",,"2,615",59,"2,603,024","47,563","54,727,963 ",Asia,382,"17,033",21,0.6,0.02,142
83,S. Korea,"132,290",+619,"1,903 ",+3,"122,163",+399,"8,224",151,"2,578",37,"9,353,300","182,298","51,307,738 ",Asia,388,"26,962",5,12,0.06,160
84,Albania,"132,032",+17,"2,435 ",+3,"125,419","+1,107","4,178",18,"45,923",847,"677,041","235,488","2,875,050 ",Europe,22,"1,181",4,6,1,"1,453"
85,Latvia,"128,125",+147,"2,269 ",+3,"117,799",+568,"8,057",71,"68,592","1,215","2,494,618","1,335,505","1,867,921 ",Europe,15,823,1,79,2,"4,313"
86,Estonia,"127,206",+153,"1,223 ",+1,"118,772",+94,"7,211",32,"95,837",921,"1,362,651","1,026,622","1,327,315 ",Europe,10,"1,085",1,115,0.8,"5,433"
87,Cuba,"125,511","+1,057",814 ,+10,"117,749","+1,089","6,948",126,"11,087",72,"4,015,883","354,742","11,320,573 ",North America,90,"13,907",3,93,0.9,614
88,Algeria,"125,311",,"3,374 ",,"87,359",,"34,578",28,"2,814",76,"230,861","5,183","44,539,145 ",Africa,355,"13,201",193,,,776
89,Norway,"119,437",+138,774 ,,"88,952",,"29,711",21,"21,882",142,"5,423,294","993,604","5,458,204 ",Europe,46,"7,052",1,25,,"5,443"
90,Thailand,"111,082","+9,635",614 ,+25,"67,200","+1,397","43,268","1,228","1,588",9,"8,124,896","116,148","69,952,942 ",Asia,630,"113,930",9,138,0.4,619
91,Kyrgyzstan,"100,732",+259,"1,711 ",+8,"93,886",+284,"5,135",85,"15,221",259,"1,059,935","160,165","6,617,784 ",Asia,66,"3,868",6,39,1,776
92,Montenegro,"98,898",+46,"1,562 ",+1,"95,999",+97,"1,337",60,"157,447","2,487","395,995","630,430","628,135 ",Europe,6,402,2,73,2,"2,129"
93,Uzbekistan,"96,893",+223,670 ,+2,"92,303",+192,"3,920",23,"2,859",20,"1,377,915","40,657","33,891,238 ",Asia,350,"50,584",25,7,0.06,116
94,Ghana,"93,333",+90,783 ,,"91,252",+106,"1,298",8,"2,950",25,"1,123,985","35,529","31,636,020 ",Africa,339,"40,404",28,3,,41
95,Zambia,"92,460",+24,"1,261 ",+1,"90,862",+46,337,40,"4,910",67,"1,474,620","78,313","18,829,768 ",Africa,204,"14,932",13,1,0.05,18
96,Finland,"90,249",+144,933 ,+2,"46,000",,"43,316",27,"16,266",168,"4,766,116","859,032","5,548,239 ",Europe,61,"5,947",1,26,0.4,"7,807"
97,Cameroon,"74,946",,"1,152 ",,"70,497",,"3,297",385,"2,764",42,"1,518,411","55,991","27,118,683 ",Africa,362,"23,541",18,,,122
98,El Salvador,"71,479",,"2,191 ",+4,"66,903",,"2,385",22,"10,972",336,"956,458","146,814","6,514,767 ",North America,91,"2,973",7,,0.6,366
99,Cyprus,"71,064",,346 ,,"39,061",,"31,657",50,"58,488",285,"5,881,056","4,840,280","1,215,024 ",Asia,17,"3,512",0,,,"26,055"
100,Mozambique,"70,463",+21,828 ,+2,"68,731",+6,904,21,"2,201",26,"537,525","16,790","32,013,672 ",Africa,454,"38,664",60,0.7,0.06,28
101,Luxembourg,"69,065",+37,808 ,+2,"66,183",,"2,074",30,"108,792","1,273","2,761,206","4,349,500","634,833 ",Europe,9,786,0,58,3,"3,267"
102,Afghanistan,"63,819",+221,"2,751 ",+6,"55,010",+324,"6,058","1,124","1,608",69,"432,676","10,902","39,688,992 ",Asia,622,"14,427",92,6,0.2,153
103,Singapore,"61,613",+28,31 ,,"61,123",+19,459,3,"10,460",5,"10,441,802","1,772,663","5,890,461 ",Asia,96,"190,015",1,5,,78
104,Namibia,"51,390",+172,723 ,+5,"48,355",+108,"2,312",66,"19,912",280,"411,483","159,434","2,580,891 ",Africa,50,"3,570",6,67,2,896
105,Botswana,"49,656",,761 ,,"46,640",,"2,255",1,"20,752",318,"1,089,391","455,268","2,392,857 ",Africa,48,"3,144",2,,,942
106,Mongolia,"49,175",+533,214 ,+7,"41,844",+944,"7,117",103,"14,793",64,"2,833,138","852,277","3,324,198 ",Asia,68,"15,534",1,160,2,"2,141"
107,Jamaica,"47,396",+77,863 ,+3,"23,281",+157,"23,252",23,"15,945",290,"355,604","119,633","2,972,449 ",North America,63,"3,444",8,26,1,"7,823"
108,Ivory Coast,"46,656",,298 ,,"46,079",,279,,"1,732",11,"608,960","22,600","26,944,545 ",Africa,578,"90,418",44,,,10
109,Maldives,"45,956","+1,433",101 ,+4,"28,849",+390,"17,006",90,"83,736",184,"798,691","1,455,293","548,818 ",Asia,12,"5,434",1,"2,611",7,"30,987"
110,Uganda,"42,779",,347 ,,"41,971",,461,24,910,7,"1,059,988","22,558","46,990,201 ",Africa,"1,098","135,418",44,,,10
111,Senegal,"40,872",+22,"1,127 ",+2,"39,597",+24,148,10,"2,387",66,"499,075","29,141","17,126,224 ",Africa,419,"15,196",34,1,0.1,9
112,Madagascar,"40,204",+63,771 ,+8,"37,945",+122,"1,488",268,"1,420",27,"195,878","6,920","28,307,945 ",Africa,704,"36,716",145,2,0.3,53
113,Zimbabwe,"38,560",,"1,582 ",,"36,329",,649,12,"2,562",105,"445,957","29,629","15,051,170 ",Africa,390,"9,514",34,,,43
114,Sudan,"34,272",,"2,446 ",,"27,949",,"3,877",,766,55,"232,965","5,207","44,737,269 ",Africa,"1,305","18,290",192,,,87
115,Malawi,"34,214",,"1,153 ",,"32,210",,851,11,"1,749",59,"239,091","12,225","19,558,322 ",Africa,572,"16,963",82,,,44
116,Angola,"30,637",,659 ,,"25,715",,"4,263",22,908,20,"527,590","15,632","33,750,530 ",Africa,"1,102","51,215",64,,,126
117,DRC,"30,609",+47,776 ,,"26,603",,"3,230",,333,8,"155,288","1,689","91,917,040 ",Africa,"3,003","118,450",592,0.5,,35
118,Malta,"30,484",+4,417 ,,"29,920",+15,147,,"68,879",942,"898,798","2,030,861","442,570 ",Europe,15,"1,061",0,9,,332
119,Australia,"29,978",+3,910 ,,"28,900",,168,1,"1,164",35,"17,542,376","681,057","25,757,558 ",Australia/Oceania,859,"28,305",1,0.1,,7
120,Cabo Verde,"28,168",,249 ,,"25,023",,"2,896",23,"50,188",444,"158,645","282,665","561,247 ",Africa,20,"2,254",4,,,"5,160"
121,Rwanda,"26,215",+74,345 ,+1,"24,764",,"1,106",2,"1,981",26,"1,376,065","104,007","13,230,555 ",Africa,505,"38,349",10,6,0.08,84
122,Gabon,"23,799",,143 ,,"20,379",,"3,277",15,"10,478",63,"767,445","337,891","2,271,282 ",Africa,95,"15,883",3,,,"1,443"
123,Syria,"23,788",+50,"1,705 ",+7,"21,073",+293,"1,010",,"1,331",95,"103,566","5,796","17,869,274 ",Asia,751,"10,481",173,3,0.4,57
124,Guinea,"22,746",,151 ,,"20,366",,"2,229",24,"1,692",11,"445,243","33,125","13,441,345 ",Africa,591,"89,016",30,,,166
125,Réunion,"22,644",,169 ,,"21,603",,872,36,"25,135",188,"102,720","114,021","900,885 ",Africa,40,"5,331",9,,,968
126,Cambodia,"22,544",+360,154 ,+4,"13,006",+886,"9,384",,"1,332",9,"1,079,873","63,821","16,920,328 ",Asia,751,"109,872",16,21,0.2,555
127,French Guiana,"21,465",,108 ,,"9,995",,"11,362",28,"70,287",354,"234,758","768,713","305,391 ",South America,14,"2,828",1,,,"37,205"
128,Mayotte,"20,176",,171 ,,"2,964",,"17,041",6,"72,439",614,"176,919","635,204","278,523 ",Africa,14,"1,629",2,,,"61,183"
129,Mauritania,"18,828",,457 ,,"18,090",,281,14,"3,959",96,"249,519","52,469","4,755,551 ",Africa,253,"10,406",19,,,59
130,French Polynesia,"18,815",,141 ,,"18,650",,24,1,"66,643",499,"26,355","93,350","282,325 ",Australia/Oceania,15,"2,002",11,,,85
131,Eswatini,"18,523",+3,672 ,,"17,803",+3,48,3,"15,823",574,"201,525","172,151","1,170,630 ",Africa,63,"1,742",6,3,,41
132,Trinidad and Tobago,"16,255",,285 ,,"10,208",,"5,762",15,"11,582",203,"153,053","109,055","1,403,445 ",North America,86,"4,924",9,,,"4,106"
133,Guadeloupe,"16,017",,221 ,,"2,242",,"13,554",33,"40,024",552,"195,404","488,285","400,184 ",North America,25,"1,811",2,,,"33,869"
134,Guyana,"15,271",,341 ,,"12,967",,"1,963",14,"19,334",432,"137,081","173,550","789,864 ",South America,52,"2,316",6,,,"2,485"
135,Somalia,"14,486",,753 ,,"6,325",,"7,408",,890,46,"120,132","7,380","16,277,182 ",Africa,"1,124","21,616",135,,,455
136,Mali,"14,194",+4,511 ,,"9,290",+63,"4,393",,684,25,"284,837","13,723","20,755,750 ",Africa,"1,462","40,618",73,0.2,,212
137,Papua New Guinea,"13,707",,136 ,,"11,034",,"2,537",,"1,507",15,"110,286","12,127","9,094,256 ",Australia/Oceania,663,"66,870",82,,,279
138,Andorra,"13,555",+45,127 ,,"13,211",+56,217,12,"175,190","1,641","193,595","2,502,100","77,373 ",Europe,6,609,0,582,,"2,805"
139,Burkina Faso,"13,397",,164 ,,"13,199",,34,,626,8,"184,102","8,603","21,399,698 ",Africa,"1,597","130,486",116,,,2
140,Haiti,"13,353",,271 ,,"12,414",,668,,"1,159",24,"60,085","5,214","11,523,564 ",North America,863,"42,522",192,,,58
141,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,369",9,,,"9,723,512 ",Asia,731,"108,039",,,,
142,Togo,"13,275",,125 ,,"11,897",,"1,253",,"1,572",15,"323,274","38,271","8,447,012 ",Africa,636,"67,576",26,,,148
143,Belize,"12,714",,323 ,,"12,337",,54,1,"31,478",800,"124,603","308,499","403,901 ",North America,32,"1,250",3,,,134
144,Curaçao,"12,254",,120 ,,"12,069",,65,18,"74,411",729,"103,551","628,805","164,679 ",North America,13,"1,372",2,,,395
145,Suriname,"11,950",,228 ,,"10,237",,"1,485",30,"20,213",386,"55,763","94,319","591,214 ",South America,49,"2,593",11,,,"2,512"
146,Hong Kong,"11,826",+1,210 ,,"11,531",+6,85,2,"1,566",28,"14,841,321","1,965,735","7,550,012 ",Asia,638,"35,952",1,0.1,,11
147,Martinique,"11,736",,90 ,,98,,"11,548",24,"31,295",240,"170,302","454,125","375,011 ",North America,32,"4,167",2,,,"30,794"
148,Djibouti,"11,434",,151 ,,"11,266",,17,,"11,428",151,"154,011","153,934","1,000,501 ",Africa,88,"6,626",6,,,17
149,Congo,"11,343",,148 ,,"8,208",,"2,987",,"2,013",26,"141,948","25,187","5,635,839 ",Africa,497,"38,080",40,,,530
150,Bahamas,"11,024",,216 ,,"9,967",,841,5,"27,802",545,"91,550","230,884","396,519 ",North America,36,"1,836",4,,,"2,121"
151,Aruba,"10,854",,104  ,,"10,662",,88,14,"101,286",970,"157,746","1,472,033","107,162 ",North America,10,"1,030",1,,,821
152,Lesotho,"10,790",,320 ,,"6,427",,"4,043",,"5,002",148,"87,981","40,788","2,157,056 ",Africa,200,"6,741",25,,,"1,874"
153,South Sudan,"10,652",,115 ,,"10,462",,75,,942,10,"159,088","14,069","11,308,016 ",Africa,"1,062","98,331",71,,,7
154,Seychelles,"9,764",+580,35 ,+3,"7,826","+1,413","1,903",,"98,748",354,"21,504","217,480","98,878 ",Africa,10,"2,825",5,"5,866",30,"19,246"
155,Benin,"7,995",,101 ,,"7,652",,242,35,645,8,"595,112","47,999","12,398,337 ",Africa,"1,551","122,756",21,,,20
156,Equatorial Guinea,"7,694",,112 ,,"7,279",,303,7,"5,333",78,"123,169","85,366","1,442,826 ",Africa,188,"12,882",12,,,210
157,Nicaragua,"7,086",,184 ,,"4,225",,"2,677",,"1,059",27,,,"6,693,189 ",North America,945,"36,376",,,,400
158,CAR,"6,866",,95 ,,"5,112",,"1,659",2,"1,400",19,"40,907","8,344","4,902,756 ",Africa,714,"51,608",120,,,338
159,Yemen,"6,568",+25,"1,294 ",+5,"3,042",+19,"2,232",23,216,43,"38,810","1,277","30,395,998 ",Asia,"4,628","23,490",783,0.8,0.2,73
160,Iceland,"6,548",+11,29 ,,"6,456",+11,63,4,"19,081",85,"631,957","1,841,501","343,175 ",Europe,52,"11,834",1,32,,184
161,Gambia,"5,940",,175 ,,"5,674",,91,3,"2,400",71,"76,379","30,855","2,475,455 ",Africa,417,"14,145",32,,,37
162,Niger,"5,333",,192 ,,"4,953",,188,2,214,8,"102,334","4,099","24,963,103 ",Africa,"4,681","130,016",244,,,8
163,San Marino,"5,083",,90 ,,"4,968",,25,4,"149,531","2,648","63,241","1,860,412","33,993 ",Europe,7,378,1,,,735
