,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,USA,"33,738,673","+18,301","600,458 ",+300,"27,188,292","+52,272","5,949,923","7,856","101,410","1,805","466,905,850","1,403,400","332,696,143 ",North America,10,554,1,55,0.9,"17,884"
1,India,"25,227,970","+263,045","278,751 ","+4,340","21,590,003","+422,394","3,359,216","8,944","18,126",200,"316,423,658","227,344","1,391,827,403 ",Asia,55,"4,993",4,189,3,"2,414"
2,Brazil,"15,657,391","+29,916","436,537 ",+714,"14,097,287",,"1,123,567","8,318","73,207","2,041","47,073,060","220,094","213,877,218 ",South America,14,490,5,140,3,"5,253"
3,France,"5,881,137","+3,350","107,812 ",+196,"5,152,566","+35,780","620,759","4,186","89,926","1,649","81,694,063","1,249,151","65,399,664 ",Europe,11,607,1,51,3,"9,492"
4,Turkey,"5,127,548","+10,174","44,983 ",+223,"4,961,120","+13,864","121,445","2,326","60,232",528,"51,076,732","599,987","85,129,663 ",Asia,17,"1,892",2,120,3,"1,427"
5,Russia,"4,949,573","+9,328","116,211 ",+340,"4,563,254","+7,181","270,108","2,300","33,904",796,"133,800,000","916,507","145,989,144 ",Europe,29,"1,256",1,64,2,"1,850"
6,UK,"4,452,756","+1,979","127,684 ",+5,"4,279,267","+2,060","45,805",124,"65,292","1,872","170,156,171","2,495,061","68,197,203 ",Europe,15,534,0,29,0.07,672
7,Italy,"4,162,576","+3,455","124,296 ",+140,"3,715,389","+9,305","322,891","1,754","68,935","2,058","63,021,591","1,043,679","60,384,095 ",Europe,15,486,1,57,2,"5,347"
8,Spain,"3,615,860","+3,621","79,432 ",+31,"3,333,587","+6,526","202,841","1,836","77,311","1,698","48,928,535","1,046,139","46,770,603 ",Europe,13,589,1,77,0.7,"4,337"
9,Germany,"3,608,292","+5,353","86,870 ",+139,"3,300,700","+14,300","220,722","4,123","42,947","1,034","58,093,759","691,445","84,017,867 ",Europe,23,967,1,64,2,"2,627"
10,Argentina,"3,307,285",,"70,522 ",,"2,952,599",,"284,164","5,538","72,596","1,548","12,399,366","272,171","45,557,248 ",South America,14,646,4,,,"6,238"
11,Colombia,"3,118,426",,"81,300 ",,"2,917,584",,"119,542","6,582","60,722","1,583","15,925,025","310,095","51,355,369 ",South America,16,632,3,,,"2,328"
12,Poland,"2,855,190","+1,109","71,675 ",+11,"2,605,703","+4,729","177,812","1,572","75,513","1,896","15,184,082","401,585","37,810,373 ",Europe,13,528,2,29,0.3,"4,703"
13,Iran,"2,765,485","+14,319","77,222 ",+286,"2,242,023","+15,901","446,240","5,264","32,562",909,"18,151,487","213,726","84,928,868 ",Asia,31,"1,100",5,169,3,"5,254"
14,Mexico,"2,381,923","+1,233","220,433 ",+53,"1,901,322","+1,580","260,168","4,798","18,307","1,694","6,852,082","52,663","130,112,930 ",North America,55,590,19,9,0.4,"2,000"
