,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,USA,"33,713,438","+17,522","600,145 ",+287,"27,133,764","+35,144","5,979,529","7,977","101,334","1,804","466,007,457","1,400,700","332,696,143 ",North America,10,554,1,53,0.9,"17,973"
1,India,"24,964,925","+281,860","274,411 ","+4,092","21,167,609","+378,571","3,522,905","8,944","17,937",197,"314,850,143","226,213","1,391,827,403 ",Asia,56,"5,072",4,203,3,"2,531"
2,Brazil,"15,627,475","+36,862","435,823 ",+971,"14,097,287","+34,891","1,094,365","8,318","73,068","2,038","46,970,130","219,613","213,877,218 ",South America,14,491,5,172,5,"5,117"
3,France,"5,877,787","+13,948","107,616 ",+81,"5,116,786","+36,330","653,385","4,255","89,875","1,646","81,239,297","1,242,197","65,399,664 ",Europe,11,608,1,213,1,"9,991"
4,Turkey,"5,117,374","+10,512","44,760 ",+223,"4,947,256","+14,418","125,358","2,468","60,113",526,"50,869,896","597,558","85,129,663 ",Asia,17,"1,902",2,123,3,"1,473"
5,Russia,"4,940,245","+8,554","115,871 ",+391,"4,556,073","+8,573","268,301","2,300","33,840",794,"133,500,000","914,452","145,989,144 ",Europe,30,"1,260",1,59,3,"1,838"
6,UK,"4,450,777","+1,926","127,679 ",+4,"4,277,207","+1,705","45,891",129,"65,263","1,872","169,007,195","2,478,213","68,197,203 ",Europe,15,534,0,28,0.06,673
7,Italy,"4,159,122","+5,753","124,156 ",+93,"3,706,084","+9,603","328,882","1,779","68,878","2,056","62,902,667","1,041,709","60,384,095 ",Europe,15,486,1,95,2,"5,447"
8,Spain,"3,604,799",,"79,339 ",,"3,297,340",,"228,120","1,899","77,074","1,696","47,213,067","1,009,460","46,770,603 ",Europe,13,590,1,,,"4,877"
9,Germany,"3,602,939","+7,067","86,731 ",+62,"3,286,400","+10,900","229,808","4,376","42,883","1,032","58,093,759","691,445","84,017,867 ",Europe,23,969,1,84,0.7,"2,735"
10,Argentina,"3,307,285","+16,350","70,522 ",+269,"2,952,599","+18,653","284,164","5,538","72,596","1,548","12,399,366","272,171","45,557,248 ",South America,14,646,4,359,6,"6,238"
11,Colombia,"3,118,426","+15,093","81,300 ",+520,"2,917,584","+14,938","119,542","6,582","60,722","1,583","15,925,025","310,095","51,355,369 ",South America,16,632,3,294,10,"2,328"
12,Poland,"2,854,079","+2,167","71,664 ",+55,"2,600,974","+5,339","181,441","1,589","75,484","1,895","15,184,082","401,585","37,810,373 ",Europe,13,528,2,57,1,"4,799"
13,Iran,"2,751,166","+11,291","76,936 ",+303,"2,226,122","+15,271","448,108","5,337","32,394",906,"18,018,878","212,164","84,928,868 ",Asia,31,"1,104",5,133,4,"5,276"
14,Mexico,"2,380,690","+2,695","220,380 ",+221,"1,899,742","+2,155","260,568","4,798","18,297","1,694","6,846,110","52,617","130,112,930 ",North America,55,590,19,21,2,"2,003"
15,Ukraine,"2,153,864","+3,620","48,075 ",+133,"1,857,724","+7,921","248,065",177,"49,510","1,105","9,841,788","226,228","43,503,769 ",Europe,20,905,4,83,3,"5,702"
16,Peru,"1,884,596",,"65,911 ",,"1,720,665",,"98,020","2,676","56,473","1,975","12,034,432","360,619","33,371,555 ",South America,18,506,3,,,"2,937"
17,Indonesia,"1,739,750","+3,080","48,093 ",+126,"1,600,857","+3,790","90,800",,"6,302",174,"15,481,111","56,082","276,043,430 ",Asia,159,"5,740",18,11,0.5,329
