Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,36303589,1845,631891,12,29805593,0,5866105,12871,108979,1897.0,541512261,1625553,333124903,North America,9,527,1,6,0,17609
India,31856757,974,426785,0,31015844,7962,414128,8944,22839,306.0,476533650,341643,1394827667,Asia,44,3268,3,0,0,297
Brazil,20066587,0,560801,0,18840232,0,665554,8318,93677,2618.0,55034721,256918,214211100,South America,11,382,4,0,0,3107
Russia,6402564,22660,163301,792,5720353,20141,518910,2300,43852,1118.0,168000000,1150662,146002946,Europe,23,894,1,155,5,3554
France,6233876,0,112098,0,5732151,0,389627,1420,95273,1713.0,107509452,1643083,65431537,Europe,10,584,1,0,0,5955
UK,5982581,0,130086,0,4585415,0,1267080,881,87624,1905.0,248910412,3645652,68275964,Europe,11,525,0,0,0,18558
Turkey,5846784,0,51875,0,5484821,0,310088,543,68519,608.0,69153864,810425,85330397,Asia,15,1645,1,0,0,3634
Argentina,4989402,0,107023,0,4630436,0,251943,3714,109299,2344.0,19868624,435248,45648942,South America,9,427,2,0,0,5519
Colombia,4821603,0,121899,0,4624669,0,75035,8155,93668,2368.0,22837298,443655,51475325,South America,11,422,2,0,0,1458
Spain,4566571,0,81931,0,3773956,0,710684,1925,97629,1752.0,57177901,1222414,46774598,Europe,10,571,1,0,0,15194
Italy,4377188,0,128163,0,4147979,0,101046,268,72513,2123.0,78432872,1299321,60364496,Europe,14,471,1,0,0,1674
Iran,4092671,34913,93086,458,3492468,24703,507117,6279,48055,1093.0,26236676,308062,85166787,Asia,21,915,3,410,5,5954
Germany,3789441,0,92255,0,3662700,1500,34486,387,45071,1097.0,67083026,797876,84077003,Europe,22,911,1,0,0,410
Indonesia,3607863,39532,104010,1635,2996478,48832,507375,0,13040,376.0,27607463,99780,276683149,Asia,77,2660,10,143,6,1834
Mexico,2922663,21569,243165,618,2283539,13112,395959,4798,22411,1865.0,8657417,66385,130412536,North America,45,536,15,165,5,3036
Poland,2883796,172,75281,6,2654224,127,154291,42,76288,1991.0,18824636,497990,37801235,Europe,13,502,2,5,0,4082
South Africa,2497655,0,73873,0,2268085,0,155697,546,41541,1229.0,15093333,251032,60125189,Africa,24,814,4,0,0,2590
Ukraine,2257478,1081,53065,16,2189293,478,15120,177,51961,1221.0,11487542,264410,43445928,Europe,19,819,4,25,0,348
Peru,2121061,0,196760,0,0,0,0,1708,63366,5878.0,15715737,469502,33473230,South America,16,170,2,0,0,6084
Netherlands,1881121,2907,17858,8,1678630,3635,184633,210,109518,1040.0,16061819,935112,17176353,Europe,9,962,1,169,0,10749
Iraq,1696390,11435,19087,87,1510888,8667,166415,968,41169,463.0,13382440,324770,41205857,Asia,24,2159,3,278,2,4039
Czechia,1674577,163,30367,0,1641609,15,2601,11,156055,2830.0,33518178,3123572,10730719,Europe,6,353,0,15,0,242
Philippines,1638345,10623,28673,247,1535375,3127,74297,2253,14737,258.0,17010656,153010,111173394,Asia,68,3877,7,96,2,668
Chile,1620389,0,35806,0,1576242,0,8341,1241,83977,1856.0,18917969,980433,19295524,South America,12,539,1,0,0,432
Canada,1436182,0,26637,0,1400582,0,8963,231,37691,699.0,38767873,1017429,38103773,North America,27,1430,1,0,0,235
Bangladesh,1335260,12606,22150,248,1172437,15494,140673,1366,8020,133.0,8043693,48316,166481941,Asia,125,7516,21,76,1,845
Malaysia,1224595,20889,10179,160,993020,16394,221396,1096,37314,310.0,19011753,579295,32818781,Asia,27,3224,2,636,5,6746
Belgium,1134907,1973,25264,6,1062447,0,47196,92,97461,2170.0,17514370,1504052,11644787,Europe,10,461,1,169,0,4053
Sweden,1104538,0,14620,0,1077670,257,12248,24,108628,1438.0,11373506,1118546,10168115,Europe,9,695,1,0,0,1205
Romania,1084456,230,34305,5,1048404,189,1747,68,56786,1796.0,10703311,560468,19097090,Europe,18,557,2,12,0,91
Pakistan,1058405,4745,23702,67,954711,2095,79992,4157,4692,105.0,16336171,72422,225568591,Asia,213,9517,14,21,0,355
Japan,985690,15263,15240,12,864775,6315,105675,1020,7820,121.0,18930208,150177,126052492,Asia,128,8271,7,121,0,838
Portugal,979987,0,17422,0,917367,0,45198,196,96416,1714.0,15575069,1532353,10164154,Europe,10,583,1,0,0,4447
Israel,891811,1610,6509,0,857777,530,27525,253,95626,698.0,16867222,1808623,9326000,Asia,10,1433,1,173,0,2951
Hungary,809855,52,30033,1,752709,1754,27113,12,84067,3118.0,6375668,661823,9633493,Europe,12,321,2,5,0,2814
