Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Antigua and Barbuda,2304,0,48,0,1516,0,740,9,23295,485.0,17409,176019,98904,North America,43,2061,6,0.0,0,7482
Caribbean Netherlands,1945,0,17,0,1827,0,101,0,73352,641.0,23069,870003,26516,North America,14,1560,1,0.0,0,3809
St. Barth,1542,0,2,0,462,0,1078,0,155553,202.0,38369,3870574,9913,North America,6,4957,0,0.0,0,108746
Saint Kitts and Nevis,1510,0,8,0,860,0,642,1,28145,149.0,34855,649662,53651,North America,36,6706,2,0.0,0,11966
Tanzania,1367,0,50,0,183,0,1134,7,22,0.8,0,0,61771971,Africa,45188,1235439,0,0.0,0,18
New Caledonia,1348,62,4,0,58,0,1286,6,4668,14.0,42756,148049,288796,Australia/Oceania,214,72199,7,215.0,0,4453
Faeroe Islands,1041,0,2,0,1007,0,32,0,21208,41.0,419000,8536039,49086,Europe,47,24543,0,0.0,0,652
Cayman Islands,745,0,2,0,703,0,40,0,11178,30.0,132399,1986511,66649,North America,89,33325,1,0.0,0,600
Wallis and Futuna,445,0,7,0,438,0,0,0,40447,636.0,20508,1864025,11002,Australia/Oceania,25,1572,1,0.0,0,0
Montserrat,31,0,1,0,24,0,6,0,6205,200.0,1408,281825,4996,North America,161,4996,4,0.0,0,1201
Western Sahara,10,0,1,0,8,0,1,0,16,2.0,0,0,614941,Africa,61494,614941,0,0.0,0,2
Vanuatu,4,0,1,0,3,0,0,0,13,3.0,23000,72843,315749,Australia/Oceania,78937,315749,14,0.0,0,0
