Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,40343530,12818,660063,136,31139592,1656,8543875,25588,121054,1981.0,586746334,1760585,333267823,North America,8,505,1,38.0,0,25637
India,32901414,44551,439890,331,32054940,33843,406584,8944,23571,315.0,524868734,376027,1395827756,Asia,42,3173,3,32.0,0,291
Brazil,20804215,0,581228,0,19775873,0,447114,8318,97070,2712.0,56897224,265475,214322393,South America,10,369,4,0.0,0,2086
Russia,6956318,18985,184812,798,6218048,18669,553458,2300,47644,1266.0,179500000,1229389,146007547,Europe,21,790,1,130.0,5,3791
UK,6862904,38154,132920,178,5533227,31119,1196757,1030,100478,1946.0,271963982,3981774,68302217,Europe,10,514,0,559.0,3,17521
France,6783329,0,114577,0,6310859,26320,357893,2270,103654,1751.0,126641689,1935170,65442161,Europe,10,571,1,0.0,0,5469
Turkey,6412277,0,57000,0,5852381,0,502896,633,75088,667.0,76740334,898627,85397309,Asia,13,1498,1,0.0,0,5889
Argentina,5190948,0,112005,0,4878099,0,200844,2602,113638,2452.0,22216037,486346,45679507,South America,9,408,2,0.0,0,4397
Iran,5055512,30279,108988,595,4269508,32193,677016,7831,59305,1279.0,28213229,330962,85246093,Asia,17,782,3,355.0,7,7942
Colombia,4911082,0,125016,0,4740709,0,45357,542,95332,2427.0,24217542,470104,51515310,South America,10,412,2,0.0,0,880
Spain,4861883,0,84472,0,4381350,0,396061,1518,103940,1806.0,60618810,1295940,46775929,Europe,10,554,1,0.0,0,8467
Italy,4553241,6761,129352,34,4286991,6372,136898,555,75437,2143.0,84632503,1402176,60357964,Europe,13,467,1,112.0,0,2268
Indonesia,4109093,8955,134356,680,3798099,21208,176638,0,14840,485.0,32644851,117896,276896388,Asia,67,2061,8,32.0,2,638
Germany,3976285,6252,92775,18,3750700,6100,132810,1169,47282,1103.0,68329706,812513,84096714,Europe,21,906,1,74.0,0,1579
Mexico,3369747,17337,260503,1177,2715043,14311,394201,4798,25819,1996.0,9803728,75117,130512404,North America,39,501,13,133.0,9,3020
Poland,2889412,390,75367,7,2657177,93,156868,56,76443,1994.0,19819235,524344,37798189,Europe,13,502,2,10.0,0,4150
South Africa,2787203,0,82496,0,2560605,0,144102,546,46314,1371.0,16536206,274778,60180348,Africa,22,729,4,0.0,0,2395
Ukraine,2290848,2477,53877,44,2209754,889,27217,177,52752,1241.0,12031985,277065,43426647,Europe,19,806,4,57.0,1,627
Peru,2151010,0,198329,0,0,0,0,1256,64196,5919.0,16793799,501201,33507122,South America,16,169,2,0.0,0,6924
Philippines,2020484,16621,33680,148,1840294,10965,146510,3050,18157,303.0,18874753,169613,111280999,Asia,55,3304,6,149.0,1,1317
Netherlands,1946655,2773,18017,5,1854081,2182,74557,201,113315,1049.0,16593808,965928,17179142,Europe,9,953,1,161.0,0,4340
Iraq,1902407,6948,20934,56,1748758,7265,132715,896,46094,507.0,14432571,349689,41272603,Asia,22,1972,3,168.0,1,3216
Malaysia,1786004,20988,17191,249,1506273,23473,262540,1001,54370,523.0,22843267,695394,32849371,Asia,18,1911,1,639.0,8,7992
Czechia,1679738,261,30404,0,1647250,17,2084,9,156514,2833.0,36108445,3364502,10732180,Europe,6,353,0,24.0,0,194
Chile,1639698,575,36995,50,1596763,406,5940,635,84925,1916.0,20382963,1055696,19307615,South America,12,522,1,30.0,3,308
Japan,1507223,20031,16123,82,1277940,23230,213160,2158,11960,128.0,22036646,174861,126024055,Asia,84,7816,6,159.0,0,1691
Bangladesh,1507116,3436,26362,88,1437885,5901,42869,1460,9046,158.0,8991664,53971,166602888,Asia,111,6320,19,21.0,0,257
Canada,1503019,0,26962,0,1443808,0,32249,405,39420,707.0,40605632,1064978,38128158,North America,25,1414,1,0.0,0,846
Thailand,1234487,14956,12103,262,1058704,17936,163680,5174,17634,173.0,8129670,116131,70004480,Asia,57,5784,9,214.0,4,2338
Belgium,1184664,0,25380,0,1102280,0,57004,200,101701,2179.0,18690579,1604548,11648500,Europe,10,459,1,0.0,0,4894
Pakistan,1167791,4103,25978,89,1048872,4974,92941,4717,5170,115.0,17871620,79118,225885525,Asia,193,8695,13,18.0,0,411
Sweden,1129131,0,14651,0,1088203,956,26277,46,110996,1440.0,11757024,1155737,10172752,Europe,9,694,1,0.0,0,2583
Romania,1101678,1470,34617,26,1056922,1030,10139,322,57717,1814.0,11578571,606599,19087675,Europe,17,551,2,77.0,1,531
Israel,1094596,7721,7122,36,991482,1975,95992,673,117370,764.0,19399402,2080142,9326000,Asia,9,1309,0,828.0,4,10293
Portugal,1042322,2830,17766,9,980599,2137,43957,140,102571,1748.0,17054320,1678249,10161970,Europe,10,572,1,278.0,0,4326
Morocco,872351,5383,12819,70,807433,6769,52099,1161,23312,343.0,9060570,242128,37420609,Africa,43,2919,4,144.0,2,1392
Hungary,812793,262,30060,1,777909,263,4824,16,84387,3121.0,6595169,684736,9631691,Europe,12,320,1,27.0,0,501
Kazakhstan,798671,4880,9495,93,691480,10644,97696,221,41950,499.0,11575012,607978,19038545,Asia,24,2005,2,256.0,5,5131
Jordan,798091,0,10422,0,776163,0,11506,574,77325,1010.0,9287040,899797,10321263,Asia,13,990,1,0.0,0,1115
Switzerland,785692,2838,11010,12,709789,3068,64893,263,90015,1261.0,9799734,1122732,8728468,Europe,11,793,1,325.0,1,7435
Serbia,769803,3524,7322,15,723920,990,38561,79,88521,842.0,5058559,581695,8696243,Europe,11,1188,2,405.0,2,4434
Nepal,765914,1619,10786,16,721182,1846,33946,0,25748,363.0,3936416,132330,29747058,Asia,39,2758,8,54.0,0,1141
UAE,720330,975,2043,0,708155,1511,10132,0,71820,204.0,75286170,7506315,10029711,Asia,14,4909,0,97.0,0,1010
Austria,691663,1510,10778,3,664582,1121,16303,142,76289,1189.0,77272254,8522953,9066371,Europe,13,841,0,167.0,0,1798
Tunisia,668051,1883,23647,109,622353,4238,22051,504,55844,1977.0,2616244,218698,11962830,Africa,18,506,5,157.0,9,1843
Cuba,665672,6208,5464,87,627242,7085,32966,440,58813,483.0,8042254,710538,11318540,North America,17,2071,1,548.0,8,2913
Lebanon,603288,0,8061,0,555063,0,40164,54,88853,1187.0,4759054,700920,6789724,Asia,11,842,1,0.0,0,5915
Greece,593668,2836,13702,33,543570,3137,36396,362,57284,1322.0,15731791,1517992,10363552,Europe,17,756,1,274.0,3,3512
Georgia,556909,3212,7563,81,502534,5017,46812,0,139919,1900.0,8130855,2042815,3980221,Asia,7,526,0,807.0,20,11761
Saudi Arabia,544811,177,8560,8,533430,279,2821,824,15370,241.0,27561054,777561,35445521,Asia,65,4141,1,5.0,0,80
Ecuador,502146,0,32296,0,443880,0,25970,759,27967,1799.0,1772699,98729,17955197,South America,36,556,10,0.0,0,1446
Bolivia,491340,461,18473,21,436496,792,36371,220,41433,1558.0,2295783,193597,11858596,South America,24,642,5,39.0,2,3067
Vietnam,486727,13197,12138,271,259324,10602,215265,0,4948,123.0,16083797,163519,98360149,Asia,202,8103,6,134.0,3,2189
Belarus,485067,1836,3803,12,477682,1784,3582,0,51353,403.0,7839164,829920,9445692,Europe,19,2484,1,194.0,1,379
Guatemala,475548,0,12007,0,412698,0,50843,5,25984,656.0,2210997,120810,18301445,North America,38,1524,8,0.0,0,2778
Costa Rica,466574,0,5523,0,374630,0,86421,456,90625,1073.0,2006420,389719,5148375,North America,11,932,3,0.0,0,16786
Paraguay,458614,0,15785,0,437598,0,5231,94,63391,2182.0,1778698,245857,7234673,South America,16,458,4,0.0,0,723
Panama,458157,0,7066,0,443737,0,7354,108,104271,1608.0,3677348,836922,4393896,North America,10,622,1,0.0,0,1674
Bulgaria,457487,0,18950,0,406345,0,32192,332,66425,2751.0,4250708,617181,6887295,Europe,15,363,2,0.0,0,4674
Sri Lanka,446903,2773,9400,0,378168,1952,59335,0,20769,437.0,4855036,225626,21518054,Asia,48,2289,4,129.0,0,2757
Azerbaijan,432495,3759,5722,45,373475,3473,53298,0,42212,558.0,4498717,439080,10245775,Asia,24,1791,2,367.0,4,5202
Kuwait,409961,0,2420,0,405320,0,2221,84,94371,557.0,3799124,874536,4344162,Asia,11,1795,1,0.0,0,511
Myanmar,406099,3459,15600,110,355764,1953,34735,0,7406,284.0,3688810,67271,54835418,Asia,135,3515,15,63.0,2,633
Slovakia,395300,178,12548,0,381251,77,1501,17,72363,2297.0,3329425,609480,5462731,Europe,14,435,2,33.0,0,275
Uruguay,385078,0,6034,0,377868,0,1176,13,110408,1730.0,3353058,961372,3487784,South America,9,578,1,0.0,0,337
Croatia,375601,798,8349,11,363309,476,3943,53,92157,2048.0,2564079,629118,4075675,Europe,11,488,2,196.0,3,967
Ireland,354236,0,5112,0,298314,0,50810,56,70817,1022.0,6415912,1282644,5002098,Europe,14,979,1,0.0,0,10158
Dominican Republic,350789,321,4009,1,341683,332,5097,137,31963,365.0,1962204,178792,10974775,North America,31,2738,6,29.0,0,464
Denmark,347212,694,2584,0,332471,972,12157,25,59699,444.0,81335909,13984818,5816015,Europe,17,2251,0,119.0,0,2090
Palestine,344957,0,3688,0,319135,0,22134,50,65840,704.0,2196916,419310,5239362,Asia,15,1421,2,0.0,0,4225
Honduras,341518,1677,8974,42,107461,178,225083,615,33853,890.0,985214,97661,10088121,North America,30,1124,10,166.0,4,22312
Venezuela,336088,0,4039,0,320400,0,11649,681,11858,143.0,3359014,118518,28341800,South America,84,7017,8,0.0,0,411
Libya,312116,1479,4286,23,224020,1600,83810,0,44715,614.0,1536501,220123,6980190,Africa,22,1629,5,212.0,3,12007
Ethiopia,309351,0,4692,0,278062,0,26597,620,2616,40.0,3246694,27450,118275094,Africa,382,25208,36,0.0,0,225
Oman,302466,73,4070,2,292181,143,6215,48,57529,774.0,1550000,294809,5257635,Asia,17,1292,3,14.0,0,1182
Lithuania,300339,807,4579,8,281729,560,14031,100,112157,1710.0,4453034,1662913,2677851,Europe,9,585,1,301.0,3,5240
Egypt,288732,0,16743,0,239886,0,32103,90,2761,160.0,3068679,29342,104581599,Africa,362,6246,34,0.0,0,307
Bahrain,272635,0,1388,0,270296,0,951,1,154012,784.0,5951437,3361985,1770215,Asia,6,1275,0,0.0,0,537
Moldova,268892,787,6411,5,257984,312,4497,95,66839,1594.0,1583945,393721,4023009,Europe,15,628,3,196.0,1,1118
Slovenia,268636,666,4453,3,258131,379,6052,18,129197,2142.0,1454517,699532,2079272,Europe,8,467,1,320.0,1,2911
S. Korea,255401,1956,2303,11,226222,1903,26876,409,4977,45.0,13223515,257664,51320715,Asia,201,22284,4,38.0,0,524
Armenia,243386,636,4876,19,227726,433,10784,0,81956,1642.0,1554292,523382,2969710,Asia,12,609,2,214.0,6,3631
Kenya,236881,0,4739,0,224270,0,7872,149,4295,86.0,2380918,43172,55149424,Africa,233,11637,23,0.0,0,143
Qatar,232910,0,602,0,229763,0,2545,24,82951,214.0,2509828,893875,2807805,Asia,12,4664,1,0.0,0,906
Mongolia,221351,3805,948,4,195676,2570,24727,192,66277,284.0,3647780,1092219,3339789,Asia,15,3523,1,1139.0,1,7404
Bosnia and Herzegovina,215313,554,9847,32,192218,0,13248,0,66108,3023.0,1146897,352137,3256965,Europe,15,331,3,170.0,10,4068
Zambia,206705,183,3608,3,201507,280,1590,96,10889,190.0,2289203,120597,18982281,Africa,92,5261,8,10.0,0,84
Algeria,196527,0,5302,0,133739,0,57486,35,4389,118.0,230861,5156,44773107,Africa,228,8445,194,0.0,0,1284
Nigeria,193013,0,2480,0,179000,0,11533,11,910,12.0,2779725,13107,212080980,Africa,1099,85517,76,0.0,0,54
North Macedonia,177399,0,5964,0,156650,0,14785,0,85154,2863.0,1164177,558821,2083274,Europe,12,349,2,0.0,0,7097
Kyrgyzstan,176018,142,2536,4,170169,102,3313,131,26471,381.0,1648161,247860,6649575,Asia,38,2622,4,21.0,0,498
Norway,162481,667,822,0,88952,0,72707,13,29700,150.0,7276630,1330110,5470696,Europe,34,6655,1,122.0,0,13290
Uzbekistan,157872,736,1093,5,149767,494,7012,23,4639,32.0,1377915,40486,34034428,Asia,216,31139,25,22.0,0,206
Botswana,156927,0,2261,0,148519,0,6147,1,65199,939.0,1645029,683465,2406894,Africa,15,1065,1,0.0,0,2554
Afghanistan,153375,69,7127,0,111281,468,34967,1124,3839,178.0,752190,18829,39948324,Asia,260,5605,53,2.0,0,875
Albania,147369,0,2501,0,134276,0,10592,3,51274,870.0,1059689,368700,2874126,Europe,20,1149,3,0.0,0,3685
Mozambique,146754,0,1866,0,134400,0,10488,32,4547,58.0,853959,26460,32273067,Africa,220,17295,38,0.0,0,325
Latvia,143446,340,2580,1,138084,145,2782,18,77047,1386.0,3595215,1931033,1861809,Europe,13,722,1,183.0,0,1494
Estonia,142837,474,1295,2,134363,359,7179,16,107592,975.0,1762832,1327857,1327577,Europe,9,1025,1,357.0,2,5408
Finland,128544,683,1030,0,46000,0,81514,23,23158,186.0,6624362,1193413,5550771,Europe,43,5389,1,123.0,0,14685
Namibia,125206,70,3394,8,119710,279,2102,34,48258,1308.0,662505,255351,2594488,Africa,21,764,4,27.0,3,810
Zimbabwe,124960,0,4438,0,113527,0,6995,12,8267,294.0,1274638,84329,15115041,Africa,121,3406,12,0.0,0,463
Uganda,120208,133,3031,8,95590,12,21587,449,2535,64.0,1586275,33453,47418518,Africa,394,15645,30,3.0,0,455
Ghana,119436,0,1036,0,111249,0,7151,54,3753,33.0,1598732,50231,31827801,Africa,266,30722,20,0.0,0,225
Montenegro,116533,577,1733,1,106417,530,8383,11,185515,2759.0,627589,999093,628159,Europe,5,362,1,919.0,2,13345
Cyprus,114131,0,507,0,90755,0,22869,58,93733,416.0,9366973,7692892,1217614,Asia,11,2402,0,0.0,0,18782
El Salvador,96067,0,2934,8,81339,0,11794,133,14724,450.0,1221446,187212,6524404,North America,68,2224,5,0.0,1,1808
Cambodia,93926,416,1928,12,89500,386,2498,0,5529,113.0,2116688,124594,16988620,Asia,181,8812,8,24.0,0,147
Rwanda,88197,0,1097,0,45313,0,41787,33,6619,82.0,2461586,184726,13325584,Africa,151,12147,5,0.0,0,3136
Cameroon,84210,0,1357,0,80433,0,2420,152,3083,50.0,1751774,64134,27314264,Africa,324,20128,16,0.0,0,89
