,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,USA,"33,906,410","+8,981","604,207 ",+120,"27,533,221","+30,966","5,768,982","6,927","101,903","1,816","473,799,199","1,423,961","332,733,197 ",North America,10,551,1,27,0.4,"17,338"
1,India,"26,946,102","+194,421","307,216 ","+3,465","24,044,364","+323,445","2,594,522","8,944","19,357",221,"330,536,064","237,439","1,392,086,685 ",Asia,52,"4,531",4,140,2,"1,864"
2,Brazil,"16,083,573",,"449,185 ",,"14,492,167",,"1,142,221","8,318","75,190","2,100","49,013,934","229,138","213,906,072 ",South America,13,476,4,,,"5,340"
3,France,"5,605,895","+2,229","108,658 ",+62,"5,222,111","+22,801","275,126","3,496","85,714","1,661","83,136,527","1,271,154","65,402,419 ",Europe,12,602,1,34,0.9,"4,207"
4,Turkey,"5,194,010","+7,523","46,446 ",+178,"5,034,316","+10,003","113,248","1,745","61,000",545,"52,594,333","617,689","85,147,010 ",Asia,16,"1,833",2,88,2,"1,330"
5,Russia,"5,009,911","+8,406","118,801 ",+319,"4,624,212","+6,450","266,898","2,300","34,317",814,"135,900,000","930,884","145,990,337 ",Europe,29,"1,229",1,58,2,"1,828"
6,UK,"4,464,900","+2,439","127,724 ",+3,"4,303,621","+2,170","33,555",124,"65,464","1,873","177,198,405","2,598,064","68,204,010 ",Europe,15,534,0,36,0.04,492
7,Italy,"4,194,672","+2,490","125,335 ",+110,"3,792,898","+7,032","276,439","1,382","69,468","2,076","64,665,967","1,070,941","60,382,401 ",Europe,14,482,1,41,2,"4,578"
8,Germany,"3,659,498","+5,297","88,030 ",+57,"3,408,800","+11,700","162,668","3,477","43,554","1,048","59,197,639","704,541","84,022,978 ",Europe,23,954,1,63,0.7,"1,936"
9,Spain,"3,647,520","+3,624","79,711 ",+31,"3,394,340","+5,373","173,469","1,627","77,987","1,704","49,708,830","1,062,814","46,770,949 ",Europe,13,587,1,77,0.7,"3,709"
10,Argentina,"3,539,484",,"74,063 ",,"3,106,949",,"358,472","6,214","77,680","1,625","13,187,035","289,410","45,565,172 ",South America,13,615,3,,,"7,867"
11,Colombia,"3,232,456",,"84,724 ",,"3,026,277",,"121,455","6,582","62,930","1,649","16,378,496","318,860","51,365,735 ",South America,16,606,3,,,"2,365"
12,Poland,"2,866,181",+559,"72,945 ",+17,"2,627,679","+2,955","165,557","1,092","75,806","1,929","15,506,202","410,113","37,809,584 ",Europe,13,518,2,15,0.4,"4,379"
13,Iran,"2,843,523","+11,005","78,848 ",+251,"2,347,752","+13,963","416,923","5,752","33,473",928,"19,054,521","224,304","84,949,429 ",Asia,30,"1,077",4,130,3,"4,908"
14,Mexico,"2,396,604","+1,274","221,647 ",+50,"1,914,101","+1,411","260,856","4,798","18,416","1,703","6,943,110","53,352","130,138,822 ",North America,54,587,19,10,0.4,"2,004"
15,Ukraine,"2,183,855","+1,334","49,436 ",+68,"1,957,561","+6,999","176,858",177,"50,205","1,136","10,022,457","230,408","43,498,771 ",Europe,20,880,4,31,2,"4,066"
16,Peru,"1,925,289",,"68,053 ",,"1,720,665",,"136,571","2,669","57,677","2,039","12,482,876","373,959","33,380,341 ",South America,17,491,3,,,"4,091"
17,Indonesia,"1,781,127","+5,907","49,455 ",+127,"1,638,279","+5,234","93,393",,"6,451",179,"16,146,147","58,480","276,098,715 ",Asia,155,"5,583",17,21,0.5,338
18,Czechia,"1,658,092",+197,"30,028 ",+6,"1,611,189",+10,"16,875",152,"154,576","2,799","22,950,252","2,139,542","10,726,714 ",Europe,6,357,0,18,0.6,"1,573"
19,South Africa,"1,637,848","+2,383","55,874 ",+72,"1,541,250","+1,855","40,724",546,"27,309",932,"11,378,282","189,720","59,974,013 ",Africa,37,"1,073",5,40,1,679
20,Netherlands,"1,628,922","+2,690","17,553 ",+11,"1,435,582","+8,054","175,787",591,"94,877","1,022","13,797,380","803,635","17,168,709 ",Europe,11,978,1,157,0.6,"10,239"
21,Canada,"1,359,683",+503,"25,242 ",+11,"1,281,009",+854,"53,432","1,344","35,746",664,"33,979,043","893,317","38,036,939 ",North America,28,"1,507",1,13,0.3,"1,405"
22,Chile,"1,335,261","+5,343","28,548 ",+30,"1,265,116","+6,036","41,597","3,037","69,320","1,482","14,392,767","747,196","19,262,384 ",South America,14,675,1,277,2,"2,159"
23,Philippines,"1,184,706","+4,973","19,983 ",+39,"1,115,806","+6,666","48,917","1,704","10,685",180,"13,043,749","117,640","110,878,477 ",Asia,94,"5,549",9,45,0.4,441
24,Iraq,"1,172,042","+4,102","16,214 ",+24,"1,086,612","+4,769","69,216",456,"28,570",395,"10,161,013","247,691","41,022,924 ",Asia,35,"2,530",4,100,0.6,"1,687"
25,Romania,"1,075,773",+230,"29,977 ",+36,"1,033,984","+1,096","11,812",580,"56,256","1,568","8,876,467","464,180","19,122,895 ",Europe,18,638,2,12,2,618
26,Sweden,"1,058,341",,"14,366 ",,"933,940","+4,568","110,035",227,"104,215","1,415","9,762,557","961,316","10,155,405 ",Europe,10,707,1,,,"10,835"
27,Belgium,"1,048,881","+1,753","24,842 ",+19,"935,360",,"88,679",544,"90,152","2,135","13,635,474","1,171,975","11,634,613 ",Europe,11,468,1,151,2,"7,622"
28,Pakistan,"903,599","+3,047","20,308 ",+57,"820,374","+2,693","62,917","4,763","4,021",90,"12,837,818","57,133","224,699,957 ",Asia,249,"11,065",18,14,0.3,280
29,Portugal,"845,465",+241,"17,018 ",+1,"805,979",+287,"22,468",57,"83,132","1,673","11,431,350","1,124,011","10,170,139 ",Europe,12,598,1,24,0.10,"2,209"
30,Israel,"839,361",+42,"6,406 ",+2,"832,441",+36,514,59,"90,002",687,"14,549,665","1,560,118","9,326,000 ",Asia,11,"1,456",1,5,0.2,55
31,Hungary,"802,346",+258,"29,560 ",+41,"670,205","+1,385","102,581",169,"83,244","3,067","5,743,991","595,947","9,638,431 ",Europe,12,326,2,27,4,"10,643"
32,Bangladesh,"790,521","+1,441","12,401 ",+25,"731,531",+834,"46,589","1,129","4,758",75,"5,838,295","35,139","166,150,458 ",Asia,210,"13,398",28,9,0.2,280
33,Jordan,"731,436",+890,"9,384 ",+16,"711,614","+1,006","10,438",637,"71,059",912,"7,139,945","693,648","10,293,333 ",Asia,14,"1,097",1,86,2,"1,014"
34,Japan,"718,864","+4,045","12,312 ",+62,"639,887","+5,784","66,665","1,300","5,699",98,"13,781,400","109,263","126,130,429 ",Asia,175,"10,245",9,32,0.5,529
35,Serbia,"710,315",+376,"6,788 ",+11,"689,098","+1,391","14,429",68,"81,590",780,"4,086,694","469,416","8,705,910 ",Europe,12,"1,283",2,43,1,"1,657"
