Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,39664831,36578,654689,284,30826478,14236,8183664,25452,119024,1965.0,579364654,1738518,333251943,North America,8,509,1,110.0,0,24557
India,32737569,43381,438387,527,31915969,34841,383213,8944,23456,314.0,518642929,371596,1395716635,Asia,43,3184,3,31.0,0,275
Brazil,20741815,13210,579330,278,19663748,17348,498737,8318,96784,2703.0,56897224,265490,214310027,South America,10,370,4,62.0,1,2327
Russia,6882827,19286,181637,797,6148250,16804,552940,2300,47140,1244.0,178100000,1219804,146007035,Europe,21,804,1,132.0,5,3787
France,6742488,13630,114210,53,6196776,5701,431502,2270,103032,1745.0,121518857,1856923,65440981,Europe,10,573,1,208.0,0,6594
UK,6731423,33196,132437,61,5383649,45730,1215337,982,98558,1939.0,266714771,3905088,68299300,Europe,10,516,0,486.0,0,17794
Turkey,6346881,17332,56213,255,5809710,11396,480958,633,74328,658.0,75857048,888361,85389874,Asia,13,1519,1,203.0,3,5632
Argentina,5173531,2073,111383,59,4862284,7955,199864,2747,113266,2439.0,21946074,480472,45676111,South America,9,410,2,45.0,1,4376
Iran,4926964,31516,106482,581,4146742,29644,673740,7877,57803,1249.0,28213229,330996,85237281,Asia,17,800,3,370.0,7,7904
Colombia,4905258,1954,124811,68,4736032,1870,44415,8155,95228,2423.0,24092793,467723,51510867,South America,11,413,2,38.0,1,862
Spain,4831809,0,84000,0,4258193,0,489616,1685,103297,1796.0,60618810,1295944,46775781,Europe,10,557,1,0.0,0,10467
Italy,4530246,5959,129093,37,4260106,4298,141047,525,75055,2139.0,83618273,1385356,60358689,Europe,13,468,1,99.0,0,2337
Indonesia,4073831,7427,131923,551,3724318,16468,217590,0,14714,476.0,31866410,115094,276872695,Asia,68,2099,9,27.0,2,786
Germany,3940211,6642,92643,12,3726700,3500,120868,1008,46855,1102.0,68329706,812535,84094524,Europe,21,908,1,79.0,0,1437
Mexico,3328863,17546,257906,756,2655396,15493,415561,4798,25508,1976.0,9698652,74318,130501308,North America,39,506,13,134.0,6,3184
Poland,2888231,204,75340,0,2656855,147,156036,57,76411,1993.0,19711583,521491,37798527,Europe,13,502,2,5.0,0,4128
South Africa,2764931,7740,81595,134,2526199,6418,157137,546,45949,1356.0,16393971,272442,60174219,Africa,22,737,4,129.0,2,2611
Ukraine,2284191,1906,53720,34,2206392,685,24079,177,52596,1237.0,11949470,275151,43428789,Europe,19,808,4,44.0,0,554
Peru,2148419,0,198167,0,0,0,0,1344,64125,5915.0,16682090,497923,33503356,South America,16,169,2,0.0,0,6853
Philippines,1954023,18528,33109,101,1777693,17922,143221,3055,17561,298.0,18536715,166594,111269043,Asia,57,3361,6,167.0,0,1287
Netherlands,1936572,2289,17996,2,1844592,3378,73984,220,112730,1048.0,16593808,965945,17178832,Europe,9,955,1,133.0,0,4307
Iraq,1874435,6083,20699,67,1719557,8152,134179,907,45424,502.0,14272791,345880,41265186,Asia,22,1994,3,147.0,2,3252
Malaysia,1706089,20579,16087,285,1422005,20845,267997,1009,51942,490.0,22461139,683832,32845972,Asia,19,2042,1,627.0,9,8159
Czechia,1678862,132,30402,1,1646369,1,2091,11,156435,2833.0,35792034,3335070,10732018,Europe,6,353,0,12.0,0,195
Chile,1637829,595,36885,44,1594585,600,6359,724,84834,1911.0,20201705,1046380,19306272,South America,12,523,1,31.0,2,329
Bangladesh,1493537,3948,26015,89,1415697,6466,51825,1416,8965,156.0,8869393,53241,166589449,Asia,112,6404,19,24.0,0,311
Canada,1489813,1577,26901,3,1433095,740,29817,274,39077,706.0,40235533,1055346,38125449,North America,26,1417,1,41.0,0,782
Japan,1434370,22748,15896,45,1173112,19266,245362,2070,11381,126.0,21539189,170909,126027215,Asia,88,7928,6,181.0,0,1947
Belgium,1177909,0,25360,0,1093676,0,58873,182,101125,2177.0,18533278,1591101,11648087,Europe,10,459,1,0.0,0,5054
Thailand,1174091,16536,11143,264,985246,20927,177702,5174,16772,159.0,8129670,116133,70003048,Asia,60,6282,9,236.0,4,2538
Pakistan,1152481,3909,25604,69,1033373,3443,93504,5639,5103,113.0,17647941,78140,225850310,Asia,196,8821,13,17.0,0,414
Sweden,1123413,0,14644,0,1086097,685,22672,39,110439,1440.0,11757024,1155795,10172237,Europe,9,695,1,0.0,0,2229
Romania,1096753,868,34528,19,1054246,272,7979,269,57456,1809.0,11433144,598948,19088721,Europe,17,553,2,45.0,1,418
Israel,1051609,4913,6989,39,966079,9034,78541,752,112761,749.0,19023673,2039853,9326000,Asia,9,1334,0,527.0,4,8422
Portugal,1034947,1782,17721,10,971567,1070,45659,148,101843,1744.0,16856683,1658761,10162213,Europe,10,573,1,175.0,1,4493
Morocco,853373,3841,12437,76,780434,6815,60502,1319,22807,332.0,8915626,238277,37417024,Africa,44,3009,4,103.0,2,1617
Hungary,811706,0,30057,0,775286,0,6363,8,84273,3121.0,6542042,679206,9631891,Europe,12,320,1,0.0,0,661
Jordan,795161,811,10383,15,773065,1223,11713,611,77047,1006.0,9198137,891255,10320434,Asia,13,994,1,79.0,1,1135
Kazakhstan,779927,5993,9118,135,662158,5271,108651,221,40970,479.0,11575012,608037,19036704,Asia,24,2088,2,315.0,7,5707
