,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,USA,33799771,27611,601928 ,615,27298220,44893,5899623,7661,101589,1809,468847396,1409169,332712023 ,North America,10,553,1.0,83,2.0,17732
1,India,25771405,276261,287156 ,3880,22348683,368980,3135566,8944,18515,206,320301177,230112,1391938524 ,Asia,54,4847,4.0,198,3.0,2253
2,Brazil,15815191,79706,441864 ,2485,14330118,82509,1043209,8318,73941,2066,47073060,220081,213889584 ,South America,14,484,5.0,373,12.0,4877
3,France,5917397,19050,108181 ,141,5188782,7098,620434,3862,90479,1654,81995097,1253731,65400845 ,Europe,11,605,1.0,291,2.0,9487
4,Turkey,5151038,11553,45419 ,233,4980516,9271,125103,2162,60503,533,51512691,605056,85137097 ,Asia,17,1874,2.0,136,3.0,1469
5,Russia,4965676,7920,116965 ,390,4581787,9561,266924,2300,34014,801,134300000,919928,145989656 ,Europe,29,1248,1.0,54,3.0,1828
6,UK,4452527,2696,127694 ,3,4284015,2068,40818,124,65286,1872,172256865,2525756,68200120 ,Europe,15,534,0.0,40,0.04,599
7,Italy,4172525,5506,124646 ,149,3741149,13929,306730,1643,69101,2064,63571711,1052802,60383369 ,Europe,14,484,1.0,91,2.0,5080
8,Germany,3627777,11881,87405 ,257,3340400,20100,199972,3708,43178,1040,58093759,691427,84020058 ,Europe,23,961,1.0,141,3.0,2380
9,Spain,3625928,6080,79568 ,66,3342024,0,204336,1740,77526,1701,48928535,1046135,46770751 ,Europe,13,588,1.0,130,1.0,4369
10,Argentina,3411160,39652,72265 ,494,3009150,16825,329745,5877,74871,1586,12728157,279367,45560644 ,South America,13,630,4.0,870,11.0,7237
11,Colombia,3161126,16579,82743 ,452,2961313,13652,117070,6582,61549,1611,16074868,312985,51359811 ,South America,16,621,3.0,323,9.0,2279
12,Poland,2859261,2344,72250 ,329,2610932,1716,176079,1377,75622,1911,15184082,401589,37810035 ,Europe,13,523,2.0,62,9.0,4657
13,Iran,2792204,12789,77765 ,233,2272719,14673,441720,5158,32874,916,18418983,216853,84937680 ,Asia,30,1092,5.0,151,3.0,5201
14,Mexico,2385512,2767,220746 ,257,1905591,2097,259175,4798,18333,1696,6874702,52832,130124027 ,North America,55,589,19.0,21,2.0,1992
15,Ukraine,2165233,5138,48696 ,227,1899446,17102,217091,177,49774,1119,9882447,227174,43501627 ,Europe,20,893,4.0,118,5.0,4990
16,Peru,1897900,0,66770 ,0,1720665,0,110465,2655,56865,2001,12173032,364732,33375320 ,South America,18,500,3.0,0,0.0,3310
17,Indonesia,1753101,4871,48669 ,192,1616603,4364,87829,0,6350,176,15738417,57009,276067124 ,Asia,157,5672,18.0,18,0.7,318
18,Czechia,1655414,1191,29948 ,6,1602118,66,23348,224,154329,2792,22005586,2051516,10726498 ,Europe,6,358,0.0,111,0.6,2177
19,South Africa,1621362,3522,55507 ,167,1528868,900,36987,546,27038,926,11207305,186895,59965841 ,Africa,37,1080,5.0,59,3.0,617
20,Netherlands,1610868,4549,17488 ,15,1393477,7100,199903,631,93828,1019,13524699,787772,17168296 ,Europe,11,982,1.0,265,0.9,11644
21,Canada,1342388,4247,25066 ,48,1255714,7332,61608,1344,35295,659,33754111,887488,38033326 ,North America,28,1517,1.0,112,1.0,1620
22,Chile,1300629,4767,27997 ,32,1236581,5534,36051,2972,67528,1454,14076346,730837,19260593 ,South America,15,688,1.0,248,2.0,1872
23,Philippines,1159071,4700,19507 ,136,1089613,6986,49951,1819,10455,176,12793212,115397,110862535 ,Asia,96,5683,9.0,42,1.0,451
24,Iraq,1151557,4609,16069 ,40,1061975,5090,73513,457,28078,392,9970564,243107,41013036 ,Asia,36,2552,4.0,112,1.0,1792
25,Romania,1073679,707,29716 ,54,1028554,1142,15409,718,56142,1554,8753313,457707,19124290 ,Europe,18,644,2.0,37,3.0,806
26,Sweden,1051762,0,14349 ,38,902442,2676,134971,283,103574,1413,9481745,933728,10154718 ,Europe,10,708,1.0,0,4.0,13291
27,Belgium,1034714,1819,24749 ,26,922277,0,87688,613,88938,2127,13349334,1147435,11634063 ,Europe,11,470,1.0,156,2.0,7537
28,Pakistan,886184,3256,19856 ,104,799951,4440,66377,4549,3945,88,12552339,55874,224653004 ,Asia,254,11314,18.0,14,0.5,295
29,Portugal,843278,511,17013 ,2,804176,417,22089,56,82914,1673,11271353,1108244,10170462 ,Europe,12,598,1.0,50,0.2,2172
30,Israel,839221,54,6395 ,3,832232,88,594,58,91244,695,14487253,1575114,9197590 ,Asia,11,1438,1.0,6,0.3,65
31,Hungary,799588,633,29329 ,52,648513,7549,121746,224,82956,3043,5670793,588336,9638698 ,Europe,12,329,2.0,66,5.0,12631
32,Bangladesh,783737,1608,12248 ,37,726132,1923,45357,1155,4718,74,5755446,34644,166132540 ,Asia,212,13564,29.0,10,0.2,273
33,Jordan,727612,1180,9314 ,19,710445,0,7853,729,70695,905,7034669,683493,10292227 ,Asia,14,1105,1.0,115,2.0,763
34,Serbia,708328,609,6725 ,15,682847,1599,18756,80,81358,772,4041471,464201,8706292 ,Europe,12,1295,2.0,70,2.0,2154
