Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
USA,40325499,181166,659872,1468,31128692,104768,8536935,25539,121002,1980.0,586607599,1760197,333262530,North America,8,505,1,544.0,4,25616
India,32856863,45971,439559,505,32021097,34775,396207,8944,23540,315.0,523184293,374830,1395790715,Asia,42,3175,3,33.0,0,284
Brazil,20804215,26348,581150,625,19775873,40426,447192,8318,97072,2712.0,56897224,265480,214318271,South America,10,369,4,123.0,3,2087
Russia,6937333,18368,184014,790,6199379,18325,553940,2300,47514,1260.0,179100000,1226650,146007376,Europe,21,793,1,126.0,5,3794
UK,6825074,35693,132742,207,5502108,35792,1190224,1014,99926,1943.0,270870957,3965828,68301245,Europe,10,515,0,523.0,3,17426
France,6783329,17621,114577,86,6284539,28418,384213,2270,103654,1751.0,124769146,1906567,65441768,Europe,10,571,1,269.0,1,5871
Turkey,6412277,23946,57000,290,5852381,15164,502896,633,75090,667.0,76740334,898653,85394830,Asia,13,1498,1,280.0,3,5889
Argentina,5190948,5328,112005,193,4878099,3958,200844,2602,113641,2452.0,22216037,486358,45678375,South America,9,408,2,117.0,4,4397
Iran,5025233,33170,108393,599,4237315,31388,679525,7860,58952,1272.0,28213229,330974,85243156,Asia,17,786,3,389.0,7,7972
Colombia,4911082,1996,125016,71,4740709,1824,45357,542,95335,2427.0,24217542,470117,51513829,South America,10,412,2,39.0,1,880
Spain,4861883,6818,84472,132,4381350,18452,396061,1518,103940,1806.0,60618810,1295942,46775880,Europe,10,554,1,146.0,3,8467
Italy,4546487,6503,129290,51,4280619,7774,136578,540,75325,2142.0,84339436,1397315,60358206,Europe,13,467,1,108.0,0,2263
Indonesia,4100138,10337,133676,653,3776891,16394,189571,0,14808,483.0,32436136,117145,276888490,Asia,68,2071,9,37.0,2,685
Germany,3970033,14615,92757,27,3744600,6600,132676,1135,47208,1103.0,68329706,812520,84095984,Europe,21,907,1,174.0,0,1578
Mexico,3352410,11146,259326,835,2700732,14164,392352,4798,25687,1987.0,9758240,74771,130508705,North America,39,503,13,85.0,6,3006
Poland,2889036,366,75358,13,2657084,0,156594,55,76433,1994.0,19819235,524342,37798302,Europe,13,502,2,10.0,0,4143
South Africa,2787203,9544,82496,235,2560605,16042,144102,546,46316,1371.0,16536206,274787,60178305,Africa,22,729,4,159.0,4,2395
Ukraine,2288371,2075,53833,44,2208865,925,25673,177,52694,1240.0,12008463,276518,43427361,Europe,19,807,4,48.0,1,591
Peru,2150006,0,198295,0,0,0,0,1330,64168,5918.0,16752029,499973,33505866,South America,16,169,2,0.0,0,6896
Philippines,2003955,14216,33533,86,1829473,18754,140949,3050,18009,301.0,18799732,168945,111277014,Asia,56,3318,6,128.0,0,1267
Netherlands,1943882,2827,18012,2,1851899,2082,73971,206,113154,1048.0,16593808,965933,17179038,Europe,9,954,1,165.0,0,4306
Iraq,1895459,7309,20878,48,1741493,6595,133088,932,45928,506.0,14393597,348765,41270131,Asia,22,1977,3,177.0,1,3225
Malaysia,1765016,18762,16942,278,1482800,21073,265274,1007,53732,516.0,22843267,695418,32848238,Asia,19,1939,1,571.0,8,8076
Czechia,1679476,287,30404,0,1647148,22,1924,9,156491,2833.0,36018150,3356106,10732126,Europe,6,353,0,27.0,0,179
Chile,1639123,448,36945,8,1596357,610,5821,657,84897,1914.0,20318662,1052390,19307167,South America,12,523,1,23.0,0,301
Bangladesh,1503680,3062,26274,79,1431984,5999,45422,1452,9026,158.0,8958639,53774,166598408,Asia,111,6341,19,18.0,0,273
Canada,1500520,1357,26947,15,1441949,1023,31624,405,39356,707.0,40539628,1063272,38127255,North America,25,1415,1,36.0,0,829
Japan,1486153,17713,16041,47,1254710,23189,215402,2092,11793,127.0,21885440,173659,126025108,Asia,85,7856,6,141.0,0,1709
Thailand,1219531,14802,11841,252,1040768,18996,166922,5174,17421,169.0,8129670,116132,70004003,Asia,57,5912,9,211.0,4,2384
Belgium,1184664,1854,25380,6,1102280,1528,57004,200,101702,2179.0,18690579,1604567,11648362,Europe,10,459,1,159.0,0,4894
Pakistan,1163688,3569,25889,101,1043898,4140,93901,5690,5152,115.0,17809969,78849,225873787,Asia,194,8725,13,16.0,0,416
