,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,USA,"34,512,624",+988,"619,624 ",+29,"28,964,039","+1,190","4,928,961","3,833","103,665","1,861","504,796,418","1,516,252","332,923,757 ",North America,10,537,1,3,0.09,"14,805"
1,India,"30,361,699","+45,699","398,484 ",+816,"29,419,497","+60,289","543,718","8,944","21,789",286,"408,139,287","292,905","1,393,420,136 ",Asia,46,"3,497",3,33,0.6,390
2,Brazil,"18,448,402",,"514,202 ",,"16,673,329",,"1,260,871","8,318","86,186","2,402","53,209,627","248,580","214,054,464 ",South America,12,416,4,,,"5,890"
3,France,"5,770,530",,"111,012 ",,"5,608,923",,"50,595","1,304","88,212","1,697","92,869,326","1,419,660","65,416,584 ",Europe,11,589,1,,,773
4,Russia,"5,493,557","+20,616","134,545 ",+652,"4,984,037","+14,697","374,975","2,300","37,628",922,"149,200,000","1,021,943","145,996,471 ",Europe,27,"1,085",1,141,4,"2,568"
5,Turkey,"5,420,156","+5,846","49,687 ",+53,"5,287,094","+6,536","83,375",730,"63,590",583,"60,558,812","710,482","85,236,225 ",Asia,16,"1,715",1,69,0.6,978
6,UK,"4,775,301","+20,479","128,126 ",+23,"4,322,070","+2,871","325,105",297,"69,979","1,878","211,227,935","3,095,413","68,239,014 ",Europe,14,533,0,300,0.3,"4,764"
7,Argentina,"4,423,636",,"93,142 ",,"4,046,308",,"284,186","6,869","96,997","2,042","16,502,856","361,858","45,605,925 ",South America,10,490,3,,,"6,231"
8,Italy,"4,259,133",+679,"127,542 ",+42,"4,078,767","+2,493","52,824",289,"70,546","2,113","71,398,190","1,182,604","60,373,691 ",Europe,14,473,1,11,0.7,875
9,Colombia,"4,187,194",,"105,326 ",,"3,880,261",,"201,607","8,155","81,433","2,048","19,695,665","383,042","51,419,049 ",South America,12,488,3,,,"3,921"
