,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,USA,"33,880,552","+17,858","603,862 ",+454,"27,469,469","+70,040","5,807,221","7,235","101,828","1,815","472,525,753","1,420,179","332,722,610 ",North America,10,551,1,54,1,"17,454"
1,India,"26,528,846","+243,777","299,296 ","+3,788","23,418,523","+359,506","2,811,027","8,944","19,058",215,"326,484,155","234,541","1,392,012,604 ",Asia,52,"4,651",4,175,3,"2,019"
2,Brazil,"16,047,439","+71,283","448,291 ","+1,764","14,462,432","+40,223","1,136,716","8,318","75,024","2,096","49,013,934","229,146","213,897,828 ",South America,13,477,4,333,8,"5,314"
3,France,"5,593,962","+12,611","108,526 ",+89,"5,195,870","+9,166","289,566","3,544","85,532","1,659","82,263,511","1,257,820","65,401,632 ",Europe,12,603,1,193,1,"4,428"
4,Turkey,"5,178,648","+8,697","46,071 ",+231,"5,013,111","+14,472","119,466","1,876","60,824",541,"52,167,387","612,710","85,142,054 ",Asia,16,"1,848",2,102,3,"1,403"
5,Russia,"4,992,554","+8,709","118,125 ",+386,"4,610,465","+9,345","263,964","2,300","34,198",809,"135,300,000","926,776","145,989,996 ",Europe,29,"1,236",1,60,3,"1,808"
6,UK,"4,460,446","+2,694","127,716 ",+6,"4,299,889","+2,011","32,841",123,"65,400","1,873","174,655,862","2,560,859","68,202,065 ",Europe,15,534,0,40,0.09,482
7,Italy,"4,188,190","+4,717","125,153  ",+125,"3,779,293","+12,633","283,744","1,430","69,361","2,073","64,379,095","1,066,181","60,382,885 ",Europe,14,482,1,78,2,"4,699"
8,Germany,"3,653,019","+6,419","87,960 ",+108,"3,387,800","+13,200","177,259","3,477","43,477","1,047","59,197,639","704,553","84,021,518 ",Europe,23,955,1,76,1,"2,110"
9,Spain,"3,636,453",,"79,620 ",,"3,356,272",,"200,561","1,655","77,750","1,702","48,928,535","1,046,133","46,770,850 ",Europe,13,587,1,,,"4,288"
10,Argentina,"3,514,683","+32,171","73,688 ",+297,"3,083,298","+23,153","357,697","6,138","77,139","1,617","13,104,928","287,623","45,562,908 ",South America,13,618,3,706,7,"7,851"
11,Colombia,"3,210,787","+18,737","84,228 ",+509,"3,011,234","+13,111","115,325","6,582","62,512","1,640","16,311,464","317,574","51,362,773 ",South America,16,610,3,365,10,"2,245"
12,Poland,"2,864,546","+1,516","72,882 ",+191,"2,621,686","+3,655","169,978","1,183","75,762","1,928","15,448,057","408,573","37,809,809 ",Europe,13,519,2,40,5,"4,496"
13,Iran,"2,823,887","+8,005","78,381 ",+187,"2,319,746","+14,922","425,760","4,945","33,244",923,"18,810,335","221,445","84,943,555 ",Asia,30,"1,084",5,94,2,"5,012"
