,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,USA,"33,664,013",,"599,314 ",,"26,712,821",,"6,351,878","8,346","101,189","1,801","464,099,542","1,395,010","332,685,557 ",North America,10,555,1,,,"19,093"
1,India,"24,372,907",+664,"266,229 ",,"20,432,898","+6,575","3,673,780","8,944","17,512",191,"313,017,193","224,909","1,391,753,322 ",Asia,57,"5,228",4,0.5,,"2,640"
2,Brazil,"15,521,313",,"432,785 ",,"14,028,355",,"1,060,173","8,318","72,574","2,024","46,970,130","219,621","213,868,974 ",South America,14,494,5,,,"4,957"
3,France,"5,848,154",,"107,423 ",,"5,042,411",,"698,320","4,352","89,423","1,643","80,698,552","1,233,944","65,398,877 ",Europe,11,609,1,,,"10,678"
4,Turkey,"5,095,390",,"44,301 ",,"4,894,024",,"157,065","2,670","59,858",520,"50,463,016","592,813","85,124,706 ",Asia,17,"1,922",2,,,"1,845"
5,Russia,"4,922,901",,"115,116 ",,"4,537,634",,"270,151","2,300","33,721",789,"132,700,000","908,974","145,988,804 ",Europe,30,"1,268",1,,,"1,850"
6,UK,"4,446,824",,"127,668 ",,"4,273,441",,"45,715",129,"65,207","1,872","169,007,195","2,478,284","68,195,259 ",Europe,15,534,0,,,670
7,Italy,"4,146,722",,"123,927 ",,"3,683,189",,"339,606","1,860","68,672","2,052","62,405,408","1,033,466","60,384,578 ",Europe,15,487,1,,,"5,624"
8,Spain,"3,604,799",,"79,339 ",,"3,297,340",,"228,120","1,899","77,074","1,696","47,213,067","1,009,462","46,770,505 ",Europe,13,590,1,,,"4,877"
9,Germany,"3,585,891",,"86,481 ",,"3,275,500","+16,500","223,910","4,376","42,681","1,029","58,093,759","691,457","84,016,407 ",Europe,23,972,1,,,"2,665"
10,Argentina,"3,269,466",,"69,853 ",,"2,913,144",,"286,469","5,457","71,770","1,533","12,224,943","268,356","45,554,984 ",South America,14,652,4,,,"6,288"
11,Colombia,"3,084,460",,"80,250 ",,"2,888,990",,"115,220","6,582","60,065","1,563","15,783,446","307,356","51,352,407 ",South America,17,640,3,,,"2,244"
12,Poland,"2,849,014",,"71,311 ",,"2,589,277",,"188,426","1,690","75,350","1,886","15,078,062","398,779","37,810,599 ",Europe,13,530,3,,,"4,983"
13,Iran,"2,732,152",,"76,433 ",,"2,196,197",,"459,522","5,468","32,172",900,"17,750,149","209,015","84,922,994 ",Asia,31,"1,111",5,,,"5,411"
14,Mexico,"2,377,995","+2,880","220,159 ",+258,"1,897,587","+2,104","260,249","4,798","18,277","1,692","6,829,477","52,492","130,105,532 ",North America,55,591,19,22,2,"2,000"
15,Ukraine,"2,150,244","+6,796","47,942 ",+322,"1,849,803","+17,202","252,499",177,"49,425","1,102","9,790,291","225,037","43,505,197 ",Europe,20,907,4,156,7,"5,804"
16,Peru,"1,879,049",,"65,608 ",,"1,720,665",,"92,776","2,685","56,311","1,966","11,972,376","358,787","33,369,044 ",South America,18,509,3,,,"2,780"
17,Indonesia,"1,734,285",,"47,823 ",,"1,592,886",,"93,576",,"6,283",173,"15,410,887","55,831","276,027,635 ",Asia,159,"5,772",18,,,339
18,Czechia,"1,651,178",,"29,857 ",,"1,588,346",,"32,975",319,"153,938","2,784","21,004,062","1,958,197","10,726,227 ",Europe,6,359,1,,,"3,074"
19,South Africa,"1,608,393",,"55,124 ",,"1,522,165",,"31,104",546,"26,826",919,"11,052,993","184,353","59,955,627 ",Africa,37,"1,088",5,,,519
20,Netherlands,"1,589,282",,"17,423 ",,"1,351,988",,"219,871",722,"92,574","1,015","13,171,698","767,234","17,167,780 ",Europe,11,985,1,,,"12,807"
21,Canada,"1,318,405",,"24,869 ",,"1,220,110",,"73,426","1,327","34,669",654,"33,260,624","874,616","38,028,810 ",North America,29,"1,529",1,,,"1,931"
22,Chile,"1,273,516",,"27,647 ",,"1,208,396",,"37,473","2,976","66,128","1,436","13,816,198","717,413","19,258,354 ",South America,15,697,1,,,"1,946"
23,Iraq,"1,134,859",,"15,910 ",,"1,034,396",,"84,553",457,"27,679",388,"9,840,649","240,012","41,000,676 ",Asia,36,"2,577",4,,,"2,062"
24,Philippines,"1,131,467",,"18,958 ",,"1,053,523",,"58,986","1,819","10,208",171,"12,529,921","113,042","110,842,608 ",Asia,98,"5,847",9,,,532
25,Romania,"1,070,605",,"29,413 ",,"1,022,029",,"19,163",809,"55,976","1,538","8,626,765","451,048","19,126,034 ",Europe,18,650,2,,,"1,002"
26,Sweden,"1,037,126",,"14,275 ",,"878,153",,"144,698",341,"102,141","1,406","8,798,383","866,506","10,153,859 ",Europe,10,711,1,,,"14,251"
27,Belgium,"1,028,104","+1,631","24,664 ",+19,"905,973",,"97,467",644,"88,375","2,120","13,210,753","1,135,591","11,633,375 ",Europe,11,472,1,140,2,"8,378"
28,Pakistan,"874,751","+1,531","19,467 ",+83,"783,480","+3,042","71,804","4,387","3,895",87,"12,410,924","55,259","224,594,312 ",Asia,257,"11,537",18,7,0.4,320
29,Portugal,"841,379",,"16,999 ",,"802,285",,"22,095",72,"82,724","1,671","11,091,313","1,090,498","10,170,866 ",Europe,12,598,1,,,"2,172"
30,Israel,"839,079",,"6,380 ",,"831,950",,749,73,"91,228",694,"14,487,253","1,575,114","9,197,590 ",Asia,11,"1,442",1,,,81
31,Hungary,"797,429","+1,039","29,114 ",+73,"618,608","+9,717","149,707",308,"82,729","3,020","5,622,836","583,340","9,639,032 ",Europe,12,331,2,108,8,"15,531"
32,Bangladesh,"779,535",,"12,102 ",,"720,471",,"46,962","1,149","4,693",73,"5,698,528","34,306","166,110,142 ",Asia,213,"13,726",29,,,283
33,Jordan,"723,069",,"9,224 ",,"710,445",,"3,400",729,"70,263",896,"6,912,958","671,758","10,290,844 ",Asia,14,"1,116",1,,,330
34,Serbia,"705,185",,"6,646 ",,"673,038",,"25,501",101,"80,993",763,"3,989,567","458,214","8,706,771 ",Europe,12,"1,310",2,,,"2,929"
35,Switzerland,"679,510",,"10,730 ",,"617,283",,"51,497",179,"78,020","1,232","7,273,942","835,176","8,709,474 ",Europe,13,812,1,,,"5,913"
36,Japan,"665,547",,"11,255 ",,"579,446",,"74,846","1,209","5,276",89,"12,913,954","102,378","126,139,908 ",Asia,190,"11,207",10,,,593
37,Austria,"635,780",,"10,455 ",,"612,523",,"12,802",322,"70,245","1,155","35,939,913","3,970,842","9,050,956 ",Europe,14,866,0,,,"1,414"
38,UAE,"543,610",,"1,626 ",,"523,778",,"18,206",,"54,395",163,"46,799,807","4,682,882","9,993,805 ",Asia,18,"6,146",0,,,"1,822"
39,Lebanon,"534,968",,"7,569 ",,"492,270",,"35,129",333,"78,685","1,113","4,163,257","612,346","6,798,866 ",Asia,13,898,2,,,"5,167"
40,Morocco,"514,705",,"9,092 ",,"502,604",,"3,009",94,"13,803",244,"6,370,615","170,844","37,289,158 ",Africa,72,"4,101",6,,,81
41,Malaysia,"462,190",,"1,822 ",,"418,897",,"41,471",482,"14,124",56,"10,397,529","317,727","32,724,742 ",Asia,71,"17,961",3,,,"1,267"
42,Nepal,"439,658",,"4,669 ",,"327,653",,"107,336",,"14,859",158,"2,733,510","92,382","29,589,353 ",Asia,67,"6,337",11,,,"3,628"
43,Saudi Arabia,"431,432",,"7,134 ",,"415,747",,"8,551","1,323","12,228",202,"17,868,871","506,452","35,282,461 ",Asia,82,"4,946",2,,,242
44,Bulgaria,"413,838",,"17,243 ",,"361,993",,"34,602",504,"59,951","2,498","2,656,622","384,855","6,902,925 ",Europe,17,400,3,,,"5,013"
45,Ecuador,"407,002",,"19,514 ",,"342,878",,"44,610",572,"22,770","1,092","1,359,491","76,057","17,874,632 ",South America,44,916,13,,,"2,496"
46,Slovakia,"387,162",,"12,168 ",,"370,043",,"4,951",214,"70,884","2,228","2,752,948","504,024","5,461,938 ",Europe,14,449,2,,,906
47,Greece,"373,881",,"11,322 ",,"335,156",,"27,403",677,"36,024","1,091","8,772,810","845,264","10,378,778 ",Europe,28,917,1,,,"2,640"
48,Belarus,"373,351",,"2,681 ",,"363,873",,"6,797",,"39,522",284,"6,050,830","640,528","9,446,623 ",Europe,25,"3,524",2,,,720
49,Panama,"370,043",,"6,292 ",,"358,670",,"5,081",105,"84,611","1,439","2,507,280","573,293","4,373,467 ",North America,12,695,2,,,"1,162"
50,Kazakhstan,"355,645","+2,505","4,039 ",+22,"312,837","+2,669","38,769",221,"18,747",213,"10,749,824","566,643","18,971,060 ",Asia,53,"4,697",2,132,1,"2,044"
51,Croatia,"349,084",,"7,664 ",,"334,206",,"7,214",207,"85,492","1,877","1,912,994","468,499","4,083,243 ",Europe,12,533,2,,,"1,767"
52,Georgia,"329,407","+1,576","4,426 ",+29,"307,918",+584,"17,063",,"82,713","1,111","4,555,909","1,143,978","3,982,513 ",Asia,12,900,1,396,7,"4,284"
53,Azerbaijan,"328,994",,"4,754 ",,"312,460",,"11,780",,"32,196",465,"3,368,394","329,642","10,218,336 ",Asia,31,"2,149",3,,,"1,153"
54,Bolivia,"327,224",,"13,409 ",,"267,973",,"45,842",158,"27,706","1,135","1,287,762","109,033","11,810,731 ",South America,36,881,9,,,"3,881"
55,Tunisia,"325,280",,"11,727 ",,"286,230",,"27,323",445,"27,276",983,"1,380,132","115,728","11,925,686 ",Africa,37,"1,017",9,,,"2,291"
56,Paraguay,"309,638",,"7,482 ",,"256,345",,"45,811",590,"42,955","1,038","1,182,111","163,992","7,208,345 ",South America,23,963,6,,,"6,355"
57,Palestine,"303,270",,"3,401 ",,"288,891",,"10,978",78,"58,281",654,"1,784,690","342,970","5,203,627 ",Asia,17,"1,530",3,,,"2,110"
58,Kuwait,"290,006",,"1,681 ",,"275,745",,"12,580",190,"67,051",389,"2,446,116","565,554","4,325,171 ",Asia,15,"2,573",2,,,"2,909"
59,Costa Rica,"282,741",,"3,547 ",,"221,903",,"57,291",489,"55,068",691,"1,093,074","212,892","5,134,409 ",North America,18,"1,448",5,,,"11,158"
60,Dominican Republic,"275,378",,"3,565 ",,"232,925",,"38,888",275,"25,167",326,"1,468,228","134,181","10,942,105 ",North America,40,"3,069",7,,,"3,554"
61,Ethiopia,"265,413",,"3,964 ",,"217,370",,"44,079",620,"2,260",34,"2,644,565","22,523","117,416,656 ",Africa,442,"29,621",44,,,375
62,Lithuania,"264,724","+1,141","4,088 ",+2,"239,702","+2,271","20,934",169,"98,440","1,520","3,093,727","1,150,435","2,689,180 ",Europe,10,658,1,424,0.7,"7,785"
63,Denmark,"264,465",,"2,499 ",,"249,487",,"12,479",33,"45,520",430,"45,701,715","7,866,179","5,809,900 ",Europe,22,"2,325",0,,,"2,148"
64,Ireland,"254,870",,"4,941 ",,"237,164",,"12,765",39,"51,122",991,"4,729,538","948,653","4,985,528 ",Europe,20,"1,009",1,,,"2,560"
65,Moldova,"253,567",,"6,006 ",,"244,487",,"3,074",160,"62,985","1,492","1,040,432","258,440","4,025,815 ",Europe,16,670,4,,,764
66,Slovenia,"248,520",,"4,314 ",,"236,049",,"8,157",125,"119,528","2,075","1,224,095","588,738","2,079,186 ",Europe,8,482,2,,,"3,923"
67,Egypt,"243,317",,"14,206 ",,"179,817",,"49,294",90,"2,340",137,"2,715,258","26,108","104,000,632 ",Africa,427,"7,321",38,,,474
68,Guatemala,"240,170",,"7,845 ",,"219,456",,"12,869",5,"13,195",431,"1,336,353","73,419","18,201,700 ",North America,76,"2,320",14,,,707
69,Uruguay,"235,206",,"3,369 ",,"204,051",,"27,786",515,"67,507",967,"1,980,797","568,512","3,484,175 ",South America,15,"1,034",2,,,"7,975"
70,Honduras,"225,256","+1,334","5,937 ",+39,"82,549",+362,"136,770",536,"22,434",591,"673,368","67,064","10,040,740 ",North America,45,"1,691",15,133,4,"13,622"
71,Armenia,"220,729",+282,"4,314 ",+13,"208,100",+636,"8,315",,"74,368","1,453","1,033,513","348,213","2,968,051 ",Asia,13,688,3,95,4,"2,802"
72,Venezuela,"212,998",,"2,366 ",,"196,759",,"13,873",316,"7,509",83,"3,359,014","118,417","28,365,910 ",South America,133,"11,989",8,,,489
73,Qatar,"212,667",,524 ,,"205,750",,"6,393",215,"75,741",187,"1,964,598","699,692","2,807,805 ",Asia,13,"5,358",1,,,"2,277"
74,Oman,"202,713",,"2,148 ",,"186,391",,"14,174",255,"38,845",412,"1,550,000","297,022","5,218,477 ",Asia,26,"2,429",3,,,"2,716"
75,Bosnia and Herzegovina,"202,143",,"8,981 ",,"168,549",,"24,613",,"61,949","2,752","937,964","287,449","3,263,066 ",Europe,16,363,3,,,"7,543"
76,Bahrain,"197,474",,732 ,,"181,237",,"15,505",163,"112,692",418,"4,322,199","2,466,533","1,752,338 ",Asia,9,"2,394",0,,,"8,848"
77,Libya,"181,179",,"3,085 ",,"167,629",,"10,465",,"26,061",444,"981,532","141,185","6,952,103 ",Africa,38,"2,254",7,,,"1,505"
78,Nigeria,"165,661",,"2,066 ",,"156,399",,"7,196",11,787,10,"1,977,479","9,392","210,540,789 ",Africa,"1,271","101,907",106,,,34
79,Kenya,"165,112",,"2,976 ",,"113,432",,"48,704",118,"3,013",54,"1,737,168","31,704","54,792,624 ",Africa,332,"18,412",32,,,889
80,North Macedonia,"154,524",,"5,184 ",,"143,427",,"5,913",124,"74,173","2,488","749,727","359,875","2,083,300 ",Europe,13,402,3,,,"2,838"
81,Myanmar,"143,035",,"3,212 ",,"132,072",,"7,751",,"2,614",59,"2,599,597","47,502","54,725,973 ",Asia,383,"17,038",21,,,142
82,Sri Lanka,"138,085",,923 ,,"110,108",,"27,054",,"6,425",43,"3,075,321","143,097","21,491,133 ",Asia,156,"23,284",7,,,"1,259"
